"Students Absent 21 or More Days by School
2012-13, Final Survey 5 - Revised 4/24/17",,,,,,
"*To provide meaningful results and to protect the privacy of individual students, data are displayed only when the total number of students in a group is at least 10 and when the performance of individuals would not be disclosed. Data for groups less than 10 are displayed with an asterisk (*).",,,,,,
"Dist #","District Name","Schl #","School Name",Enrollments,"Absent 21 Days or Over","% Absent 21 or More Days"
1,ALACHUA,21,"CHARLES W. DUVAL ELEMENTARY SCHOOL",354,14,"0,03954802259"
1,ALACHUA,31,"J. J. FINLEY ELEMENTARY SCHOOL",630,43,"0,06825396825"
1,ALACHUA,41,"STEPHEN FOSTER ELEMENTARY SCHOOL",531,10,"0,01883239171"
1,ALACHUA,52,"A.QUINN JONES/EXCEP.STUDENT CENTER",98,18,"0,18367346938"
1,ALACHUA,71,"LAKE FOREST ELEMENTARY SCHOOL",382,51,"0,1335078534"
1,ALACHUA,81,"SIDNEY LANIER CENTER",184,75,"0,40760869565"
1,ALACHUA,82,"HOSPITAL HOMEBOUND",69,4,"0,05797101449"
1,ALACHUA,91,"LITTLEWOOD ELEMENTARY SCHOOL",699,51,"0,07296137339"
1,ALACHUA,101,"W. A. METCALFE ELEMENTARY SCHOOL",479,83,"0,17327766179"
1,ALACHUA,111,"JOSEPH WILLIAMS ELEMENTARY SCHOOL",661,50,"0,0756429652"
1,ALACHUA,112,"ABRAHAM LINCOLN MIDDLE SCHOOL",748,29,"0,03877005347"
1,ALACHUA,121,"HOWARD W. BISHOP MIDDLE SCHOOL",765,65,"0,08496732026"
1,ALACHUA,141,"WESTWOOD MIDDLE SCHOOL",1161,75,"0,0645994832"
1,ALACHUA,151,"GAINESVILLE HIGH SCHOOL",2086,244,"0,11697027804"
1,ALACHUA,161,"ALACHUA ELEMENTARY SCHOOL",408,21,"0,05147058823"
1,ALACHUA,171,"ARCHER ELEMENTARY",530,41,"0,07735849056"
1,ALACHUA,201,"HAWTHORNE MIDDLE/HIGH SCHOOL",389,73,"0,18766066838"
1,ALACHUA,221,"A. L. MEBANE MIDDLE SCHOOL",419,47,"0,1121718377"
1,ALACHUA,261,"NEWBERRY HIGH SCHOOL",651,112,"0,17204301075"
1,ALACHUA,271,"SANTA FE HIGH SCHOOL",1059,143,"0,13503305004"
1,ALACHUA,281,"CHESTER SHELL ELEMENTARY SCHOOL",249,19,"0,07630522088"
1,ALACHUA,291,"WALDO COMMUNITY SCHOOL",271,36,"0,13284132841"
1,ALACHUA,311,"MYRA TERWILLIGER ELEMENTARY SCHOOL",843,87,"0,10320284697"
1,ALACHUA,321,"IDYLWILD ELEMENTARY SCHOOL",823,54,"0,06561360874"
1,ALACHUA,331,"GLEN SPRINGS ELEMENTARY SCHOOL",474,19,"0,04008438818"
1,ALACHUA,341,"MARJORIE KINNAN RAWLINGS ELEMENTARY SCHOOL",473,73,"0,15433403805"
1,ALACHUA,343,"CHARACTER COUNTS CENTER",76,5,"0,06578947368"
1,ALACHUA,411,"PROFESSIONAL ACADEMY MAGNET AT LOFTEN HIGH SCHOOL",279,28,"0,10035842293"
1,ALACHUA,412,"HORIZON CENTER. ALTERNATIVE SCHOOL",221,80,"0,36199095022"
1,ALACHUA,421,"EASTSIDE HIGH SCHOOL",1435,216,"0,15052264808"
1,ALACHUA,431,"F. W. BUCHHOLZ HIGH SCHOOL",2267,305,"0,13453903837"
1,ALACHUA,461,"HIGH SPRINGS COMMUNITY SCHOOL",914,65,"0,07111597374"
1,ALACHUA,481,"FORT CLARKE MIDDLE SCHOOL",921,66,"0,07166123778"
1,ALACHUA,482,"HIDDEN OAK ELEMENTARY SCHOOL",804,28,"0,03482587064"
1,ALACHUA,492,"FEARNSIDE FAMILY SERVICES CENTER",76,18,"0,23684210526"
1,ALACHUA,500,"PRAIRIE VIEW ACADEMY",102,40,"0,39215686274"
1,ALACHUA,501,"KIMBALL WILES ELEMENTARY SCHOOL",819,39,"0,04761904761"
1,ALACHUA,502,"KANAPAHA MIDDLE SCHOOL",1076,98,"0,09107806691"
