"Students Absent 21 or More Days by District
2012-13, Final Survey 5 - Revised 4/24/17",,,,
" ",,,,
"District #","District Name",Enrollments,"Absent 21 Days or Over","% Absent 21 or More Days"
0,FLORIDA,3057194,297993,"0,09747271517"
1,ALACHUA,32082,3090,"0,09631569104"
2,BAKER,5359,946,"0,17652547116"
3,BAY,30864,3550,"0,11502073613"
4,BRADFORD,3458,521,"0,15066512434"
5,BREVARD,79995,4657,"0,0582161385"
6,BROWARD,294235,35441,"0,12045133991"
7,CALHOUN,2502,376,"0,15027977617"
8,CHARLOTTE,18725,1102,"0,0588518024"
9,CITRUS,17659,2011,"0,11387960813"
10,CLAY,39275,3286,"0,08366645448"
11,COLLIER,48453,2117,"0,04369182506"
12,COLUMBIA,11148,1404,"0,12594187298"
13,DADE,393743,36619,"0,09300228829"
14,DESOTO,5551,602,"0,10844892812"
15,DIXIE,2313,635,"0,27453523562"
16,DUVAL,148043,9598,"0,06483251487"
17,ESCAMBIA,47841,5307,"0,11092995547"
18,FLAGLER,14272,1148,"0,08043721973"
19,FRANKLIN,1423,338,"0,23752635277"
20,GADSDEN,6843,613,"0,0895805933"
21,GILCHRIST,2966,471,"0,15879973027"
22,GLADES,1696,96,"0,05660377358"
23,GULF,2123,116,"0,05463966085"
24,HAMILTON,1781,522,"0,29309376754"
25,HARDEE,5722,568,"0,09926599091"
26,HENDRY,7762,1304,"0,16799793867"
27,HERNANDO,25034,3752,"0,14987616841"
28,HIGHLANDS,13636,1135,"0,08323555294"
29,HILLSBOROUGH,230400,24468,"0,10619791666"
30,HOLMES,3780,214,"0,05661375661"
31,"INDIAN RIVER",19881,2398,"0,12061767516"
32,JACKSON,7663,916,"0,11953542998"
33,JEFFERSON,1152,212,"0,18402777777"
34,LAFAYETTE,1326,249,"0,18778280542"
35,LAKE,46871,4653,"0,09927247125"
36,LEE,100215,9676,"0,09655241231"
37,LEON,39656,3394,"0,08558603994"
38,LEVY,6333,303,"0,0478446234"
39,LIBERTY,1733,256,"0,14772071552"
40,MADISON,3106,385,"0,12395363811"
41,MANATEE,52910,5646,"0,1067095067"
42,MARION,49168,5992,"0,12186788154"
43,MARTIN,20331,1351,"0,06645024838"
44,MONROE,9388,808,"0,08606731998"
45,NASSAU,12024,1428,"0,11876247504"
46,OKALOOSA,34038,2461,"0,07230154533"
47,OKEECHOBEE,7481,688,"0,09196631466"
48,ORANGE,209704,21903,"0,10444722084"
49,OSCEOLA,65774,7329,"0,11142700763"
50,"PALM BEACH",199008,12437,"0,06249497507"
51,PASCO,75822,7788,"0,1027142518"
52,PINELLAS,120188,15056,"0,12527040969"
53,POLK,114740,8586,"0,07483005054"
54,PUTNAM,12467,4638,"0,37202213844"
55,"ST. JOHNS",35006,2915,"0,08327143918"
56,"ST. LUCIE",45181,6681,"0,14787189305"
57,"SANTA ROSA",28578,2491,"0,08716495206"
58,SARASOTA,43514,3087,"0,07094268511"
59,SEMINOLE,70638,4699,"0,06652226846"
60,SUMTER,8908,722,"0,0810507409"
61,SUWANNEE,6712,1423,"0,21200834326"
62,TAYLOR,3371,769,"0,22812221892"
63,UNION,2500,194,"0,0776"
64,VOLUSIA,70285,7516,"0,10693604609"
65,WAKULLA,5558,820,"0,14753508456"
66,WALTON,9047,670,"0,07405769868"
67,WASHINGTON,3824,645,"0,16867154811"
68,DEAF/BLIND,650,75,"0,11538461538"
69,"WASH SPECIAL",128,0,0
71,"FL VIRTUAL",7256,385,"0,05305953693"
72,"FAU LAB SCH",2304,98,"0,04253472222"
73,"FSU LAB SCH",2435,130,"0,05338809034"
74,"FAMU LAB SCH",470,48,"0,10212765957"
75,"UF LAB SCH",1166,65,"0,05574614065"
