"Students Absent 21 or More Days by District
2014-15, Final Survey 5 - Revised as of 4/24/17",,,,
" ",,,,
"District #","District Name",Enrollments,"Absent 21 Days or Over","% Absent 21 or More Days"
0,FLORIDA,3111840,303913,"0,09766344027"
1,ALACHUA,32688,3101,"0,09486661771"
2,BAKER,5377,1005,"0,18690719732"
3,BAY,32074,4095,"0,12767350501"
4,BRADFORD,3820,703,"0,18403141361"
5,BREVARD,81394,5316,"0,06531193945"
6,BROWARD,297615,25541,"0,08581892713"
7,CALHOUN,2556,551,"0,215571205"
8,CHARLOTTE,18356,1368,"0,07452604053"
9,CITRUS,17130,1941,"0,11330998248"
10,CLAY,39922,3565,"0,0892991333"
11,COLLIER,50196,2154,"0,04291178579"
12,COLUMBIA,11610,1248,"0,10749354005"
13,DADE,397704,44608,"0,11216382032"
14,DESOTO,5498,711,"0,12931975263"
15,DIXIE,2310,616,"0,26666666666"
16,DUVAL,151909,10160,"0,06688214654"
17,ESCAMBIA,47439,3943,"0,08311726638"
18,FLAGLER,14582,1293,"0,0886709642"
19,FRANKLIN,1485,295,"0,19865319865"
20,GADSDEN,6653,788,"0,11844280775"
21,GILCHRIST,2996,474,"0,15821094793"
22,GLADES,1805,109,"0,06038781163"
23,GULF,2085,297,"0,14244604316"
24,HAMILTON,1915,445,"0,23237597911"
25,HARDEE,5909,532,"0,09003215434"
26,HENDRY,8151,1328,"0,1629247945"
27,HERNANDO,24988,3381,"0,13530494637"
28,HIGHLANDS,13835,1379,"0,09967473798"
29,HILLSBOROUGH,244038,24266,"0,09943533384"
30,HOLMES,3803,431,"0,11333158033"
32,JACKSON,7565,1239,"0,1637805684"
33,JEFFERSON,998,107,"0,10721442885"
34,LAFAYETTE,1328,207,"0,15587349397"
35,LAKE,47487,5232,"0,11017752226"
36,LEE,102903,11088,"0,10775196058"
37,LEON,39799,4054,"0,10186185582"
38,LEVY,6211,1538,"0,24762518113"
39,LIBERTY,1711,380,"0,22209234365"
40,MADISON,3017,536,"0,17765992707"
41,MANATEE,54073,7080,"0,13093410759"
42,MARION,50453,6373,"0,12631558083"
43,MARTIN,20904,1425,"0,06816877152"
44,MONROE,9447,726,"0,07684979358"
45,NASSAU,12105,1448,"0,11961999173"
46,OKALOOSA,34892,2429,"0,06961481141"
47,OKEECHOBEE,7346,848,"0,1154369725"
48,ORANGE,218289,21957,"0,10058683671"
49,OSCEOLA,69064,6794,"0,09837252403"
50,"PALM BEACH",206977,12530,"0,06053812742"
51,PASCO,79268,7651,"0,09652066407"
52,PINELLAS,121476,15610,"0,12850274951"
53,POLK,117952,8934,"0,07574267498"
54,PUTNAM,12351,2233,"0,18079507732"
55,"ST. JOHNS",37994,2472,"0,06506290466"
56,"ST. LUCIE",44977,6285,"0,13973808835"
57,"SANTA ROSA",29185,2421,"0,08295357204"
58,SARASOTA,45449,3047,"0,06704217914"
59,SEMINOLE,72406,4764,"0,06579565229"
60,SUMTER,9632,2551,"0,26484634551"
61,SUWANNEE,6763,1195,"0,17669673221"
62,TAYLOR,3208,736,"0,22942643391"
63,UNION,2644,465,"0,17586989409"
64,VOLUSIA,70784,7841,"0,11077362115"
65,WAKULLA,5615,989,"0,17613535173"
66,WALTON,9621,723,"0,0751481135"
67,WASHINGTON,3839,822,"0,21411825996"
68,DEAF/BLIND,656,67,"0,10213414634"
69,"WASH SPECIAL",135,0,0
71,"FL VIRTUAL",6896,3155,"0,45751160092"
72,"FAU LAB SCH",2479,105,"0,04235578862"
73,"FSU LAB SCH",2444,121,"0,04950900163"
74,"FAMU LAB SCH",492,37,"0,07520325203"
75,"UF LAB SCH",1162,54,"0,04647160068"
