"Students Absent 21 or More Days by School
2014-15, Final Survey 5 - Revised as of 4/24/17",,,,,,
"*To provide meaningful results and to protect the privacy of individual students, data are displayed only when the total number of students in a group is at least 10 and when the performance of individuals would not be disclosed. Data for groups less than 10 are displayed with an asterisk (*).",,,,,,
"Dist #","District Name","Schl #","School Name",Enrollments,"Absent 21 Days or Over","% Absent 21 or More Days"
1,ALACHUA,21,"CHARLES W. DUVAL ELEMENTARY SCHOOL",286,30,"0,10489510489"
1,ALACHUA,31,"J. J. FINLEY ELEMENTARY SCHOOL",699,29,"0,04148783977"
1,ALACHUA,41,"STEPHEN FOSTER ELEMENTARY SCHOOL",547,21,"0,03839122486"
1,ALACHUA,52,"A.QUINN JONES/EXCEP.STUDENT CENTER",153,30,"0,19607843137"
1,ALACHUA,71,"LAKE FOREST ELEMENTARY SCHOOL",417,50,"0,11990407673"
1,ALACHUA,81,"SIDNEY LANIER CENTER",211,71,"0,33649289099"
1,ALACHUA,82,"HOSPITAL HOMEBOUND",21,1,"0,04761904761"
1,ALACHUA,91,"LITTLEWOOD ELEMENTARY SCHOOL",760,45,"0,05921052631"
1,ALACHUA,101,"W. A. METCALFE ELEMENTARY SCHOOL",630,83,"0,13174603174"
1,ALACHUA,111,"JOSEPH WILLIAMS ELEMENTARY SCHOOL",640,61,"0,0953125"
1,ALACHUA,112,"ABRAHAM LINCOLN MIDDLE SCHOOL",790,34,"0,04303797468"
1,ALACHUA,121,"HOWARD W. BISHOP MIDDLE SCHOOL",803,50,"0,06226650062"
1,ALACHUA,141,"WESTWOOD MIDDLE SCHOOL",1053,97,"0,09211775878"
1,ALACHUA,151,"GAINESVILLE HIGH SCHOOL",1906,214,"0,11227701993"
1,ALACHUA,161,"ALACHUA ELEMENTARY SCHOOL",391,15,"0,03836317135"
1,ALACHUA,171,"ARCHER ELEMENTARY",558,26,"0,04659498207"
1,ALACHUA,201,"HAWTHORNE MIDDLE/HIGH SCHOOL",309,54,"0,17475728155"
1,ALACHUA,221,"A. L. MEBANE MIDDLE SCHOOL",437,35,"0,08009153318"
1,ALACHUA,261,"NEWBERRY HIGH SCHOOL",641,103,"0,16068642745"
1,ALACHUA,271,"SANTA FE HIGH SCHOOL",1169,199,"0,17023096663"
1,ALACHUA,281,"CHESTER SHELL ELEMENTARY SCHOOL",251,25,"0,09960159362"
1,ALACHUA,291,"WALDO COMMUNITY SCHOOL",231,28,"0,12121212121"
1,ALACHUA,311,"MYRA TERWILLIGER ELEMENTARY SCHOOL",842,81,"0,09619952494"
1,ALACHUA,321,"IDYLWILD ELEMENTARY SCHOOL",910,74,"0,08131868131"
1,ALACHUA,331,"GLEN SPRINGS ELEMENTARY SCHOOL",536,19,"0,03544776119"
1,ALACHUA,341,"MARJORIE KINNAN RAWLINGS ELEMENTARY SCHOOL",432,56,"0,12962962962"
1,ALACHUA,411,"PROFESSIONAL ACADEMY MAGNET AT LOFTEN HIGH SCHOOL",232,55,"0,23706896551"
1,ALACHUA,412,"HORIZON CENTER. ALTERNATIVE SCHOOL",147,76,"0,51700680272"
1,ALACHUA,421,"EASTSIDE HIGH SCHOOL",1482,239,"0,161268556"
1,ALACHUA,431,"F. W. BUCHHOLZ HIGH SCHOOL",2267,282,"0,12439347154"
