"Students Absent 21 or More Days by District
2015-16, Final Survey 5",,,,
" ",,,,
"District #","District Name",Enrollments,"Absent 21 Days or Over","% Absent 21 or More Days"
0,FLORIDA,3157431,318787,"0,10096404323"
1,ALACHUA,33428,4646,"0,13898528179"
2,BAKER,5373,1128,"0,20993858179"
3,BAY,32107,4080,"0,12707509265"
4,BRADFORD,3693,686,"0,18575683725"
5,BREVARD,81082,5365,"0,06616758343"
6,BROWARD,300808,26213,"0,0871419643"
7,CALHOUN,2510,525,"0,20916334661"
8,CHARLOTTE,18084,1370,"0,07575757575"
9,CITRUS,17508,1935,"0,11052090472"
10,CLAY,40982,4010,"0,09784783563"
11,COLLIER,50729,2427,"0,04784245697"
12,COLUMBIA,11520,1109,"0,09626736111"
13,DADE,396596,36540,"0,09213406085"
14,DESOTO,5572,801,"0,14375448671"
15,DIXIE,2374,363,"0,15290648694"
16,DUVAL,151160,18698,"0,12369674517"
17,ESCAMBIA,47297,4693,"0,09922405226"
18,FLAGLER,14589,1436,"0,09843032421"
19,FRANKLIN,1487,251,"0,16879623402"
20,GADSDEN,6624,710,"0,10718599033"
21,GILCHRIST,3020,204,"0,06754966887"
22,GLADES,1880,140,"0,0744680851"
23,GULF,2173,344,"0,15830648872"
24,HAMILTON,1949,379,"0,19445869676"
25,HARDEE,5841,601,"0,10289334018"
26,HENDRY,8219,1216,"0,14794987224"
27,HERNANDO,24984,3680,"0,14729426833"
28,HIGHLANDS,13971,1413,"0,10113807171"
29,HILLSBOROUGH,248692,25371,"0,1020177569"
30,HOLMES,3706,371,"0,10010793308"
31,"INDIAN RIVER",20378,2857,"0,14020021591"
32,JACKSON,7616,1251,"0,16425945378"
33,JEFFERSON,971,156,"0,16065911431"
34,LAFAYETTE,1290,211,"0,16356589147"
35,LAKE,47627,6351,"0,13334873076"
36,LEE,103973,11850,"0,11397189655"
37,LEON,38017,4045,"0,10639976852"
38,LEVY,6160,1920,"0,31168831168"
39,LIBERTY,1694,310,"0,18299881936"
40,MADISON,3006,380,"0,12641383898"
41,MANATEE,53827,6634,"0,12324669775"
42,MARION,50821,5824,"0,11459829598"
43,MARTIN,20892,1643,"0,0786425426"
44,MONROE,9331,790,"0,08466402314"
45,NASSAU,12207,1483,"0,121487671"
46,OKALOOSA,35152,2608,"0,0741920801"
47,OKEECHOBEE,7433,922,"0,12404143683"
48,ORANGE,222565,26478,"0,11896749264"
49,OSCEOLA,71491,7836,"0,10960820243"
50,"PALM BEACH",208937,13388,"0,06407673126"
51,PASCO,80683,7662,"0,09496424277"
52,PINELLAS,120882,15853,"0,13114442183"
53,POLK,118206,8987,"0,07602828959"
54,PUTNAM,12647,2807,"0,22194986953"
55,"ST. JOHNS",39463,2367,"0,05998023465"
56,"ST. LUCIE",44624,6688,"0,14987450699"
57,"SANTA ROSA",29568,2085,"0,07051542207"
58,SARASOTA,45803,3109,"0,06787764993"
59,SEMINOLE,73008,4702,"0,06440390094"
60,SUMTER,9470,855,"0,09028511087"
61,SUWANNEE,6783,1174,"0,17307975821"
62,TAYLOR,3228,673,"0,208488228"
63,UNION,2608,390,"0,1495398773"
64,VOLUSIA,72040,7956,"0,11043864519"
65,WAKULLA,5654,999,"0,17668906968"
66,WALTON,10041,747,"0,07439498057"
67,WASHINGTON,3737,828,"0,22156810275"
68,DEAF/BLIND,658,69,"0,10486322188"
69,"WASH SPECIAL",226,0,0
71,"FL VIRTUAL",10093,2944,"0,29168730803"
72,"FAU LAB SCH",2537,126,"0,04966495861"
73,"FSU LAB SCH",2464,77,"0,03125"
74,"FAMU LAB SCH",489,24,"0,0490797546"
75,"UF LAB SCH",1173,23,"0,01960784313"
