"Students Absent 21 or More Days by School
2015-16, Final Survey 5",,,,,,
"*To provide meaningful results and to protect the privacy of individual students, data are displayed only when the total number of students in a group is at least 10 and when the performance of individuals would not be disclosed. Data for groups less than 10 are displayed with an asterisk (*).",,,,,,
"District #","District Name","School #","School Name",Enrollments,"Absent 21 Days or Over","% Absent 21 or More Days"
1,ALACHUA,22,"EARLY LEARNING ACADEMY AT DUVAL",456,127,"0,27850877192"
1,ALACHUA,31,"J. J. FINLEY ELEMENTARY SCHOOL",721,38,"0,05270457697"
1,ALACHUA,41,"STEPHEN FOSTER ELEMENTARY SCHOOL",593,34,"0,05733558178"
1,ALACHUA,52,"A.QUINN JONES CENTER",173,90,"0,52023121387"
1,ALACHUA,71,"LAKE FOREST ELEMENTARY SCHOOL",629,106,"0,16852146263"
1,ALACHUA,81,"SIDNEY LANIER CENTER",198,63,"0,31818181818"
1,ALACHUA,82,"HOSPITAL HOMEBOUND",25,0,0
1,ALACHUA,91,"LITTLEWOOD ELEMENTARY SCHOOL",791,71,"0,08975979772"
1,ALACHUA,101,"W. A. METCALFE ELEMENTARY SCHOOL",345,29,"0,08405797101"
1,ALACHUA,111,"JOSEPH WILLIAMS ELEMENTARY SCHOOL",647,67,"0,10355486862"
1,ALACHUA,112,"ABRAHAM LINCOLN MIDDLE SCHOOL",795,139,"0,17484276729"
1,ALACHUA,121,"HOWARD W. BISHOP MIDDLE SCHOOL",799,112,"0,14017521902"
1,ALACHUA,141,"WESTWOOD MIDDLE SCHOOL",1055,101,"0,09573459715"
1,ALACHUA,151,"GAINESVILLE HIGH SCHOOL",2034,339,"0,16666666666"
1,ALACHUA,161,"ALACHUA ELEMENTARY SCHOOL",409,24,"0,0586797066"
1,ALACHUA,171,"ARCHER ELEMENTARY",541,31,"0,0573012939"
1,ALACHUA,201,"HAWTHORNE MIDDLE/HIGH SCHOOL",349,91,"0,26074498567"
1,ALACHUA,221,"A. L. MEBANE MIDDLE SCHOOL",421,49,"0,11638954869"
1,ALACHUA,261,"NEWBERRY HIGH SCHOOL",673,90,"0,13372956909"
1,ALACHUA,271,"SANTA FE HIGH SCHOOL",1222,188,"0,15384615384"
1,ALACHUA,281,"CHESTER SHELL ELEMENTARY SCHOOL",381,64,"0,16797900262"
1,ALACHUA,311,"MYRA TERWILLIGER ELEMENTARY SCHOOL",859,140,"0,16298020954"
1,ALACHUA,321,"IDYLWILD ELEMENTARY SCHOOL",951,103,"0,10830704521"
1,ALACHUA,331,"GLEN SPRINGS ELEMENTARY SCHOOL",531,23,"0,04331450094"
1,ALACHUA,341,"MARJORIE KINNAN RAWLINGS ELEMENTARY SCHOOL",448,66,"0,14732142857"
1,ALACHUA,411,"PROFESSIONAL ACADEMY MAGNET AT LOFTEN HIGH SCHOOL",273,64,"0,23443223443"
1,ALACHUA,421,"EASTSIDE HIGH SCHOOL",1526,507,"0,33224115334"
1,ALACHUA,431,"F. W. BUCHHOLZ HIGH SCHOOL",2399,520,"0,21675698207"
1,ALACHUA,461,"HIGH SPRINGS COMMUNITY SCHOOL",972,76,"0,07818930041"
1,ALACHUA,481,"FORT CLARKE MIDDLE SCHOOL",954,99,"0,1037735849"
1,ALACHUA,482,"HIDDEN OAK ELEMENTARY SCHOOL",891,51,"0,05723905723"
1,ALACHUA,492,"FEARNSIDE FAMILY SERVICES CENTER",74,20,"0,27027027027"
1,ALACHUA,501,"KIMBALL WILES ELEMENTARY SCHOOL",891,41,"0,04601571268"
1,ALACHUA,502,"KANAPAHA MIDDLE SCHOOL",1052,97,"0,09220532319"
1,ALACHUA,503,"WILES HEAD START",108,30,"0,27777777777"
1,ALACHUA,510,"LAWTON M. CHILES ELEMENTARY SCHOOL",783,48,"0,06130268199"
1,ALACHUA,520,"MEADOWBROOK ELEMENTARY SCHOOL",884,21,"0,0237556561"
