"Students Absent 21 or More Days by District
2013-14, Final Survey 5 - Revised 4/24/17",,,,
" ",,,,
"District #","District Name",Enrollments,"Absent 21 Days or Over","% Absent 21 or More Days"
0,FLORIDA,3040436,292146,"0,09608687701"
1,ALACHUA,32171,3005,"0,09340710577"
2,BAKER,5368,1099,"0,20473174366"
3,BAY,31182,3939,"0,12632287858"
4,BRADFORD,3726,571,"0,15324745034"
5,BREVARD,79928,4799,"0,06004153738"
6,BROWARD,295664,35091,"0,11868539964"
7,CALHOUN,2538,492,"0,19385342789"
8,CHARLOTTE,18586,1181,"0,0635424513"
9,CITRUS,17435,1881,"0,10788643533"
10,CLAY,39853,3428,"0,0860161092"
11,COLLIER,49531,2128,"0,04296299287"
12,COLUMBIA,11591,1411,"0,12173237856"
13,DADE,396289,40392,"0,10192561489"
14,DESOTO,5531,692,"0,12511299945"
15,DIXIE,2296,673,"0,29311846689"
16,DUVAL,149835,10919,"0,07287349417"
17,ESCAMBIA,47583,4706,"0,09890086795"
18,FLAGLER,13982,1080,"0,0772421685"
19,FRANKLIN,1467,350,"0,23858214042"
20,GADSDEN,6844,938,"0,13705435417"
21,GILCHRIST,2937,473,"0,16104868913"
22,GLADES,1692,119,"0,07033096926"
23,GULF,2061,294,"0,14264919941"
24,HAMILTON,1876,434,"0,23134328358"
25,HARDEE,5942,636,"0,10703466846"
26,HENDRY,7965,1384,"0,17376020087"
27,HERNANDO,24914,3458,"0,13879746327"
28,HIGHLANDS,13738,1386,"0,10088804775"
29,HILLSBOROUGH,235884,23612,"0,10010004917"
30,HOLMES,3902,337,"0,08636596617"
31,"INDIAN RIVER",19962,2424,"0,12143071836"
32,JACKSON,7709,916,"0,11882215592"
33,JEFFERSON,994,89,"0,08953722334"
34,LAFAYETTE,1309,246,"0,18792971734"
35,LAKE,47171,4465,"0,09465561467"
36,LEE,101001,9724,"0,09627627449"
37,LEON,39440,3668,"0,09300202839"
38,LEVY,5584,1526,"0,27328080229"
39,LIBERTY,1576,306,"0,19416243654"
40,MADISON,2964,433,"0,14608636977"
41,MANATEE,53325,6825,"0,12798874824"
42,MARION,49725,6007,"0,12080442433"
43,MARTIN,20432,1262,"0,06176585747"
44,MONROE,9522,670,"0,07036336904"
45,NASSAU,12075,1427,"0,11817805383"
46,OKALOOSA,34635,2258,"0,06519416774"
47,OKEECHOBEE,7244,749,"0,10339591385"
48,ORANGE,213485,21067,"0,09868140618"
49,OSCEOLA,19409,2125,"0,10948529032"
50,"PALM BEACH",203066,11547,"0,05686328582"
51,PASCO,77160,7915,"0,1025790565"
52,PINELLAS,119408,15422,"0,12915382553"
53,POLK,117224,8423,"0,07185388657"
54,PUTNAM,12536,3791,"0,3024090619"
55,"ST. JOHNS",36474,2778,"0,07616384273"
56,"ST. LUCIE",44641,723,"0,01619587374"
57,"SANTA ROSA",28590,2162,"0,07562084644"
58,SARASOTA,44690,2780,"0,06220631013"
59,SEMINOLE,71400,4254,"0,05957983193"
60,SUMTER,9225,704,"0,07631436314"
61,SUWANNEE,6798,1190,"0,17505148573"
62,TAYLOR,3284,782,"0,23812423873"
63,UNION,2550,351,"0,13764705882"
64,VOLUSIA,70562,7554,"0,10705478869"
65,WAKULLA,5612,843,"0,15021382751"
66,WALTON,9397,715,"0,07608811322"
67,WASHINGTON,3746,641,"0,17111585691"
68,DEAF/BLIND,658,76,"0,11550151975"
69,"WASH SPECIAL",166,1,"0,00602409638"
71,"FL VIRTUAL",6833,2148,"0,31435679789"
72,"FAU LAB SCH",2412,57,"0,02363184079"
73,"FSU LAB SCH",2440,87,"0,0356557377"
74,"FAMU LAB SCH",528,61,"0,11553030303"
75,"UF LAB SCH",1163,46,"0,03955288048"
