"Students Absent 21 or More Days by School
2013-14, Final Survey 5 - Revised 4/24/17",,,,,,
"*To provide meaningful results and to protect the privacy of individual students, data are displayed only when the total number of students in a group is at least 10 and when the performance of individuals would not be disclosed. Data for groups less than 10 are displayed with an asterisk (*).",,,,,,
"Dist #","District Name","Schl #","School Name",Enrollments,"Absent 21 Days or Over","% Absent 21 or More Days"
1,ALACHUA,21,"CHARLES W. DUVAL ELEMENTARY SCHOOL",366,32,"0,08743169398"
1,ALACHUA,31,"J. J. FINLEY ELEMENTARY SCHOOL",648,47,"0,07253086419"
1,ALACHUA,41,"STEPHEN FOSTER ELEMENTARY SCHOOL",527,16,"0,0303605313"
1,ALACHUA,52,"A.QUINN JONES/EXCEP.STUDENT CENTER",99,25,"0,25252525252"
1,ALACHUA,71,"LAKE FOREST ELEMENTARY SCHOOL",363,42,"0,11570247933"
1,ALACHUA,81,"SIDNEY LANIER CENTER",194,64,"0,32989690721"
1,ALACHUA,82,"HOSPITAL HOMEBOUND",81,3,"0,03703703703"
1,ALACHUA,91,"LITTLEWOOD ELEMENTARY SCHOOL",709,68,"0,09590973201"
1,ALACHUA,101,"W. A. METCALFE ELEMENTARY SCHOOL",457,75,"0,16411378555"
1,ALACHUA,111,"JOSEPH WILLIAMS ELEMENTARY SCHOOL",629,41,"0,06518282988"
1,ALACHUA,112,"ABRAHAM LINCOLN MIDDLE SCHOOL",746,35,"0,04691689008"
1,ALACHUA,121,"HOWARD W. BISHOP MIDDLE SCHOOL",760,76,"0,1"
1,ALACHUA,141,"WESTWOOD MIDDLE SCHOOL",1117,73,"0,06535362578"
1,ALACHUA,151,"GAINESVILLE HIGH SCHOOL",1997,202,"0,10115172759"
1,ALACHUA,161,"ALACHUA ELEMENTARY SCHOOL",405,18,"0,04444444444"
1,ALACHUA,171,"ARCHER ELEMENTARY",513,17,"0,03313840155"
1,ALACHUA,201,"HAWTHORNE MIDDLE/HIGH SCHOOL",346,18,"0,05202312138"
1,ALACHUA,221,"A. L. MEBANE MIDDLE SCHOOL",393,31,"0,07888040712"
1,ALACHUA,261,"NEWBERRY HIGH SCHOOL",620,106,"0,17096774193"
1,ALACHUA,271,"SANTA FE HIGH SCHOOL",1116,202,"0,18100358422"
1,ALACHUA,281,"CHESTER SHELL ELEMENTARY SCHOOL",238,19,"0,07983193277"
1,ALACHUA,291,"WALDO COMMUNITY SCHOOL",262,30,"0,11450381679"
1,ALACHUA,311,"MYRA TERWILLIGER ELEMENTARY SCHOOL",822,83,"0,100973236"
1,ALACHUA,321,"IDYLWILD ELEMENTARY SCHOOL",835,69,"0,08263473053"
1,ALACHUA,331,"GLEN SPRINGS ELEMENTARY SCHOOL",521,17,"0,03262955854"
1,ALACHUA,341,"MARJORIE KINNAN RAWLINGS ELEMENTARY SCHOOL",471,65,"0,13800424628"
1,ALACHUA,343,"CHARACTER COUNTS CENTER",63,5,"0,07936507936"
1,ALACHUA,411,"PROFESSIONAL ACADEMY MAGNET AT LOFTEN HIGH SCHOOL",246,15,"0,06097560975"
1,ALACHUA,412,"HORIZON CENTER. ALTERNATIVE SCHOOL",187,90,"0,48128342245"
1,ALACHUA,421,"EASTSIDE HIGH SCHOOL",1454,178,"0,12242090784"
1,ALACHUA,431,"F. W. BUCHHOLZ HIGH SCHOOL",2315,269,"0,1161987041"
1,ALACHUA,461,"HIGH SPRINGS COMMUNITY SCHOOL",956,54,"0,05648535564"
1,ALACHUA,481,"FORT CLARKE MIDDLE SCHOOL",952,72,"0,0756302521"
1,ALACHUA,482,"HIDDEN OAK ELEMENTARY SCHOOL",819,41,"0,05006105006"
1,ALACHUA,492,"FEARNSIDE FAMILY SERVICES CENTER",75,25,"0,33333333333"
1,ALACHUA,500,"PRAIRIE VIEW ACADEMY",63,16,"0,25396825396"
1,ALACHUA,501,"KIMBALL WILES ELEMENTARY SCHOOL",941,40,"0,04250797024"
1,ALACHUA,502,"KANAPAHA MIDDLE SCHOOL",1069,75,"0,07015902712"
1,ALACHUA,503,"WILES HEAD START",107,28,"0,26168224299"
