,,,,,,,,,
"Student Average Daily Attendance/Average Daily Membership by School",,,,,,,,,
"2013-14, Survey 5 Data Final",,,,,,,,,
"*To provide meaningful results and to protect the privacy of individual students, data are displayed only when the total number of students in a group is at least 10 and when the performance of individuals would not be disclosed. Data for groups less than 10 are displayed with an asterisk (*).  A blank cell indicates no students in ADM.",,,,,,,,,
"DIST #",DISTRICT,"SCHOOL #","SCHOOL NAME","DAYS PRESENT","DAYS ABSENT",TOTAL,"PERCENT PRESENT","AVERAGE DAILY ATTENDANCE ","AVERAGE DAILY MEMBERSHIP"
,,,,,,,,,
1,ALACHUA,21,"CHARLES W. DUVAL ELEM SCH",53639,3017,56656,"0,9467487997740751",298,315
1,ALACHUA,31,"J. J. FINLEY ELEMENTARY S",99155,4943,104098,"0,9525158984802782",551,578
1,ALACHUA,41,"STEPHEN FOSTER ELEMENTARY",81101,3145,84246,"0,962668850746623",451,468
1,ALACHUA,52,"A.QUINN JONES/EXCEP.STUD.",11353,1444,12797,"0,887161053371884",63,71
1,ALACHUA,71,"LAKE FOREST ELEMENTARY SC",50225,3472,53697,"0,9353408942771477",279,298
1,ALACHUA,81,"SIDNEY LANIER CENTER",24793,4135,28928,"0,8570589048672567",138,161
1,ALACHUA,82,"HOSPITAL HOMEBOUND",4236,283,4519,"0,9373755255587519",24,25
1,ALACHUA,91,"LITTLEWOOD ELEMENTARY SCH",105871,6164,112035,"0,9449814790020976",588,622
1,ALACHUA,101,"W. A. METCALFE ELEMENTARY",66086,5351,71437,"0,9250948388090205",367,397
1,ALACHUA,111,"JOSEPH WILLIAMS ELEM. SCH",95737,4932,100669,"0,9510077580983223",532,559
1,ALACHUA,112,"ABRAHAM LINCOLN MIDDLE SC",114910,6485,121395,"0,9465793484080893",638,674
1,ALACHUA,121,"HOWARD W. BISHOP MIDDLE S",114602,7897,122499,"0,9355341676258582",637,681
1,ALACHUA,141,"WESTWOOD MIDDLE SCHOOL",166483,9138,175621,"0,9479674981921297",925,976
1,ALACHUA,151,"GAINESVILLE HIGH SCHOOL",307254,19147,326401,"0,9413390277603316",1707,1813
1,ALACHUA,161,"ALACHUA ELEMENTARY SCHOOL",63138,2861,65999,"0,9566508583463386",351,367
1,ALACHUA,171,"ARCHER ELEMENTARY",77915,3673,81588,"0,9549811246751974",433,453
1,ALACHUA,201,"HAWTHORNE MIDDLE/HIGH SCH",48751,2395,51146,"0,9531732686818128",271,284
1,ALACHUA,221,"A. L. MEBANE MIDDLE SCHOO",60325,3384,63709,"0,9468834858497229",335,354
1,ALACHUA,261,"NEWBERRY HIGH SCHOOL",94595,7503,102098,"0,9265117827969206",526,567
1,ALACHUA,271,"SANTA FE HIGH SCHOOL",173582,14397,187979,"0,923411657685167",964,1044
1,ALACHUA,281,"CHESTER SHELL ELEMENTARY",33273,2203,35476,"0,9379016800090202",185,197
1,ALACHUA,291,"WALDO COMMUNITY SCHOOL",36056,2666,38722,"0,9311502505035897",200,215
1,ALACHUA,311,"MYRA TERWILLIGER ELEM. SC",114780,7731,122511,"0,9368954624482699",638,681
1,ALACHUA,321,"IDYLWILD ELEMENTARY SCHOO",112604,7178,119782,"0,9400744686179894",626,665
1,ALACHUA,331,"GLEN SPRINGS ELEMENTARY S",81386,3292,84678,"0,9611233142020359",452,470
1,ALACHUA,341,"MARJORIE KINNAN RAWLINGS",64557,5082,69639,"0,9270236505406453",359,387
1,ALACHUA,343,"CHARACTER COUNTS CENTER",6239,516,6755,"0,9236121391561806",35,38
1,ALACHUA,411,"PROFESSIONAL ACADEMY MAGN",37935,672,38607,"0,9825938301344316",211,214
1,ALACHUA,412,"HORIZON CTR. ALTERNATIVE",11018,4962,15980,"0,6894868585732166",61,89
