"STUDENT AVERAGE DAILY ATTENDANCE/AVERAGE DAILY MEMBERSHIP REPORT BY SCHOOL",,,,,,,,,
"2014-15 SURVEY 5 FINAL AS OF 02/29/2016",,,,,,,,,
"*To provide meaningful results and to protect the privacy of individual students, data are displayed only when the total number of students in a group is at least 10 and when the performance of individuals would not be disclosed. Data for groups less than 10 are displayed with an asterisk (*).  A blank cell indicates no students in ADM.",,,,,,,,,
,,,,,,,,,
"DISTRICT NUMBER","DISTRICT NAME","SCHOOL NUMBER","SCHOOL NAME","DAYS PRESENT","DAYS ABSENT",TOTAL,"PERCENT PRESENT","AVERAGE DAILY ATTENDANCE ","AVERAGE DAILY MEMBERSHIP"
,,,,,,,,,
1,ALACHUA,21,"CHARLES W. DUVAL ELEM SCH",38094,2600,40694,"0,9361085172261266",212,226
1,ALACHUA,31,"J. J. FINLEY ELEMENTARY S",104695,4701,109396,"0,9570276792570113",582,608
1,ALACHUA,41,"STEPHEN FOSTER ELEMENTARY",82838,3564,86402,"0,9587509548390084",460,480
1,ALACHUA,52,"A.QUINN JONES/EXCEP.STUD.",15952,2099,18051,"0,8837183535538198",89,100
1,ALACHUA,71,"LAKE FOREST ELEMENTARY SC",55708,4420,60128,"0,9264901543374136",309,334
1,ALACHUA,81,"SIDNEY LANIER CENTER",27594,4604,32198,"0,8570097521585192",153,179
1,ALACHUA,82,"HOSPITAL HOMEBOUND",*,*,*,*,*,*
1,ALACHUA,91,"LITTLEWOOD ELEMENTARY SCH",112248,6025,118273,"0,9490585340694833",624,657
1,ALACHUA,101,"W. A. METCALFE ELEMENTARY",88391,6998,95389,"0,9266372432880101",491,530
1,ALACHUA,111,"JOSEPH WILLIAMS ELEM. SCH",94234,5645,99879,"0,9434816127514293",524,555
1,ALACHUA,112,"ABRAHAM LINCOLN MIDDLE SC",122127,6175,128302,"0,9518713659958535",678,713
1,ALACHUA,121,"HOWARD W. BISHOP MIDDLE S",125911,7071,132982,"0,9468273901731061",700,739
1,ALACHUA,141,"WESTWOOD MIDDLE SCHOOL",157266,9330,166596,"0,9439962544118706",874,926
1,ALACHUA,151,"GAINESVILLE HIGH SCHOOL",290576,19637,310213,"0,9366983330808186",1614,1723
1,ALACHUA,161,"ALACHUA ELEMENTARY SCHOOL",60874,2933,63807,"0,9540332565392512",338,354
1,ALACHUA,171,"ARCHER ELEMENTARY",85200,4186,89386,"0,9531694001297742",473,497
1,ALACHUA,201,"HAWTHORNE MIDDLE/HIGH SCH",41478,3727,45205,"0,9175533679902665",230,251
1,ALACHUA,221,"A. L. MEBANE MIDDLE SCHOO",66964,3650,70614,"0,9483105333220041",372,392
1,ALACHUA,261,"NEWBERRY HIGH SCHOOL",96116,7550,103666,"0,9271699496459784",534,576
1,ALACHUA,271,"SANTA FE HIGH SCHOOL",178182,15018,193200,"0,9222670807453416",990,1073
1,ALACHUA,281,"CHESTER SHELL ELEMENTARY",35478,2427,37905,"0,93597150771666",197,211
1,ALACHUA,291,"WALDO COMMUNITY SCHOOL",32554,2383,34937,"0,9317915104330652",181,194
1,ALACHUA,311,"MYRA TERWILLIGER ELEM. SC",117461,7858,125319,"0,9372960205555423",653,696
