"Student Average Daily Attendance/Average Daily Membership Report by School
2015-16, Final Survey 5",,,,,,,,,,,,,
"*To provide meaningful results and to protect the privacy of individual students, data are displayed only when the total number of students in a group is at least 10 and when the performance of individuals would not be disclosed. Data for groups less than 10 are displayed with an asterisk (*).",,,,,,,,,,,,,
DISTRICT,"DISTRICT NAME","School #","School Name","DAYS PRESENT","DAYS ABSENT","TOTAL DAYS","% PRESENT","AVERAGE DAILY ATTENDANCE","AVERAGE DAILY MEMBERSHIP","SUMMER DAYS PRESENT","SUMMER DAYS ABSENT","TOTAL SUMMER DAYS ","% SUMMER DAYS PRESENT"
1,ALACHUA,22,"EARLY LEARNING ACADEMY AT DUVAL",61672,7290,68962,"0,89428960877",343,383,*,*,*,*
1,ALACHUA,31,"J. J. FINLEY ELEMENTARY SCHOOL",109087,5231,114318,"0,95424167672",606,635,358,83,441,"0,81179138321"
1,ALACHUA,41,"STEPHEN FOSTER ELEMENTARY SCHOOL",89458,4409,93867,"0,95302928611",497,521,200,17,217,"0,92165898617"
1,ALACHUA,52,"A.QUINN JONES CENTER",13698,7282,20980,"0,65290753098",76,117,169,85,254,"0,6653543307"
1,ALACHUA,71,"LAKE FOREST ELEMENTARY SCHOOL",81652,7766,89418,"0,91314947773",454,497,298,64,362,"0,82320441988"
1,ALACHUA,81,"SIDNEY LANIER CENTER",24591,5664,30255,"0,81279127416",137,168,685,130,815,"0,84049079754"
1,ALACHUA,82,"HOSPITAL HOMEBOUND",2607,0,2607,1,14,14,143,12,155,"0,92258064516"
1,ALACHUA,91,"LITTLEWOOD ELEMENTARY SCHOOL",119318,7301,126619,"0,9423388275",663,703,580,124,704,"0,82386363636"
1,ALACHUA,101,"W. A. METCALFE ELEMENTARY SCHOOL",48931,3015,51946,"0,94195895737",272,289,205,8,213,"0,96244131455"
1,ALACHUA,111,"JOSEPH WILLIAMS ELEMENTARY SCHOOL",96094,5788,101882,"0,94318917963",534,566,198,16,214,"0,92523364485"
1,ALACHUA,112,"ABRAHAM LINCOLN MIDDLE SCHOOL",117769,11011,128780,"0,91449759279",654,715,86,2,88,"0,97727272727"
1,ALACHUA,121,"HOWARD W. BISHOP MIDDLE SCHOOL",122875,9600,132475,"0,92753349688",683,736,0,0,0,
1,ALACHUA,141,"WESTWOOD MIDDLE SCHOOL",156562,10364,166926,"0,93791260798",870,927,115,122,237,"0,48523206751"
1,ALACHUA,151,"GAINESVILLE HIGH SCHOOL",312254,27646,339900,"0,91866431303",1735,1888,1259,0,1259,1
1,ALACHUA,161,"ALACHUA ELEMENTARY SCHOOL",64077,3280,67357,"0,95130424454",356,374,429,82,511,"0,83953033268"
1,ALACHUA,171,"ARCHER ELEMENTARY",83703,4268,87971,"0,95148401177",465,489,149,6,155,"0,96129032258"
1,ALACHUA,201,"HAWTHORNE MIDDLE/HIGH SCHOOL",46306,5952,52258,"0,88610356309",257,290,0,0,0,
1,ALACHUA,221,"A. L. MEBANE MIDDLE SCHOOL",62868,4082,66950,"0,93902912621",349,372,0,0,0,
1,ALACHUA,261,"NEWBERRY HIGH SCHOOL",104602,8030,112632,"0,92870587399",581,626,*,*,*,*
1,ALACHUA,271,"SANTA FE HIGH SCHOOL",189221,15250,204471,"0,92541729634",1051,1136,589,0,589,1
1,ALACHUA,281,"CHESTER SHELL ELEMENTARY SCHOOL",51244,4468,55712,"0,91980183802",285,310,122,16,138,"0,88405797101"
1,ALACHUA,311,"MYRA TERWILLIGER ELEMENTARY SCHOOL",119223,10294,129517,"0,92052008616",662,720,191,56,247,"0,77327935222"
1,ALACHUA,321,"IDYLWILD ELEMENTARY SCHOOL",123696,9401,133097,"0,92936730354",687,739,680,55,735,"0,92517006802"
1,ALACHUA,331,"GLEN SPRINGS ELEMENTARY SCHOOL",84044,3836,87880,"0,95634956759",467,488,99,0,99,1
1,ALACHUA,341,"MARJORIE KINNAN RAWLINGS ELEMENTARY SCHOOL",60771,4881,65652,"0,92565344543",338,365,354,107,461,"0,76789587852"
1,ALACHUA,411,"PROFESSIONAL ACADEMY MAGNET AT LOFTEN HIGH SCHOOL",39809,4256,44065,"0,90341540905",221,245,42,16,58,"0,72413793103"
1,ALACHUA,421,"EASTSIDE HIGH SCHOOL",227033,27764,254797,"0,8910348238",1261,1416,697,0,697,1
1,ALACHUA,431,"F. W. BUCHHOLZ HIGH SCHOOL",361745,38880,400625,"0,90295163806",2010,2226,697,0,697,1
