"Course Enrollments",,,,
"2013-14 Survey 3 Data Final, as of 8/08/2014",,,,
,,,,
"DIST #","DISTRICT NAME","COURSE #",COURSE,ENROLLMENT
01,ALACHUA,ACG2001,"HONORS PRINCIPLES OF FINANCIAL",1
01,ALACHUA,ACG2011,"ACCOUNTING PRINCIPLES II",1
01,ALACHUA,ACG2021,"FINANCIAL ACCOUNTING",1
01,ALACHUA,ACRC540,"HARV HELPER AND ASSISTANT MECH",1
01,ALACHUA,AERC691,"FUNDAMENTALS OF ELECTRICAL AND",1
01,ALACHUA,AER0022,"BASIC AUTO SERVICE II",1
01,ALACHUA,AER0590,"AUTOMOTIVE BRAKE SYSTEMS I",1
01,ALACHUA,AMH2010,"AMERICAN HISTORY I",24
01,ALACHUA,AMH2020,"UNITED STATES HISTORY FROM 186",112
01,ALACHUA,AMH2035,"US MODERN WORLD SINCE 1945",1
01,ALACHUA,AMH2091,"AFRICAN-AMERICAN HISTORY",2
01,ALACHUA,ANT2000,"HONORS GENERAL ANTHROPOLOGY",2
01,ALACHUA,ANT2301,"HUMAN SEXUALITY AND CULTURE",3
01,ALACHUA,ANT2410,"INTRODUCTION TO CULTURAL ANTHR",3
01,ALACHUA,ANT2511,"BIOLOGICAL ANTHROPOLOGY",3
01,ALACHUA,ARH1000,"ART APPRECIATION",3
01,ALACHUA,ARH2051,"HONORS HISTORY OF ART 2",2
01,ALACHUA,ARH2500,"NON-WESTERN ART HISTORY",1
01,ALACHUA,ARTC001,"CREATIVE EXPRESSION",24
01,ALACHUA,ARTC201,"DESIGN FUNDAMENTALS",3
01,ALACHUA,ARTC203,"THREE-DIMENSIONAL DESIGN",2
01,ALACHUA,ARTC300,"DRAWING I",7
01,ALACHUA,ARTC301,"DRAWING FUNDAMENTALS II",1
01,ALACHUA,ARTC302,"DRAWING AND COMPOSITION III",2
01,ALACHUA,ARTC500,"FUNDAMENTALS OF PAINTING",1
01,ALACHUA,ARTC701,"INTRODUCTION TO SCULPTURE",1
01,ALACHUA,ARTC750,"CERAMICS HANDBUILDING",3
01,ALACHUA,ARTC752,"CERAMICS WHEEL THROWING",4
01,ALACHUA,ASL1140,"AMERICAN SIGN LANGUAGE I",3
01,ALACHUA,ASL1150,"AMERICAN SIGN LANGUAGE II",10
01,ALACHUA,ASL2510,"DEAF CULTURE",1
01,ALACHUA,ASTL002,"DESCRIPTIVE ASTRONOMY LABORATO",1
01,ALACHUA,AST1002,"PLANETS, STARS, AND GALAXIES",1
01,ALACHUA,BCN1210,"BUILDING CONSTRUCTION MATERIAL",2
01,ALACHUA,BSCL005,"GENERAL BIOLOGY LAB",17
01,ALACHUA,BSCL010,"GENERAL BIOLOGY I LAB",1
01,ALACHUA,BSCL011,"FUNDAMENTALS OF BIOLOGY II LAB",3
01,ALACHUA,BSCL084,"HONORS ESSENT OF HUM ANATOMY A",1
01,ALACHUA,BSCL085,"ANATOMY & PHYSIOLOGY LAB I",10
01,ALACHUA,BSCL086,"HUMAN ANATOMY AND PHYSIOLOGY I",6
01,ALACHUA,BSC1001,"FUNDAMENTALS OF BIOLOGICAL SCI",14
01,ALACHUA,BSC1030,"SOCIAL ISSUES IN BIOLOGY",1
01,ALACHUA,BSC2005,"GENERAL BIOLOGY",17
01,ALACHUA,BSC2010,"INTEGRATED PRINCIPLES OF BIOLO",1
01,ALACHUA,BSC2011,"BIOLOGY II",3
01,ALACHUA,BSC2050,ENVIRONMENT,2
01,ALACHUA,BSC2084,"HONORS ESSENTIALS OF HUMAN ANA",1
01,ALACHUA,BSC2085,"ANATOMY & PHYSIOLOGY I",10
01,ALACHUA,BSC2086,"ADVANCED ANATOMY & PHYSIOLOGY",6
01,ALACHUA,BSC2250,"NATURAL HISTORY OF SOUTH FLORI",2
01,ALACHUA,BUL2241,"BUSINESS LAW",1
01,ALACHUA,CCJ1020,"INTRODUCTION TO CRIMINAL JUSTI",4
