" COURSE ENROLLMENT BY DISTRICT, BY COURSE ",,,,
"SCHOOL YEAR 2014-15",,,,
"SURVEY 3 PRELIMINARY DATA (as of  04/10/15) ",,,,
"Source:  2014-15 Automated Student Database, Bureau of Education Information and Accountability Services (EIAS)",,,,
"DIST #",DISTRICT,"COURSE #","COURSE TITLE",ENROLLMENT
01,ALACHUA,ACG2011,"ACCOUNTING PRINCIPLES II",1
01,ALACHUA,ACG2021,"FINANCIAL ACCOUNTING",1
01,ALACHUA,ACG2071,"MANAGERIAL ACCOUNTING",1
01,ALACHUA,AERC691,"FUNDAMENTALS OF ELECTRICAL AND",2
01,ALACHUA,AER0022,"BASIC AUTO SERVICE II",2
01,ALACHUA,AER0590,"AUTOMOTIVE BRAKE SYSTEMS I",2
01,ALACHUA,AMH2010,"AMERICAN HISTORY I  SURVEY TO",21
01,ALACHUA,AMH2020,"UNITED STATES HISTORY FROM 186",80
01,ALACHUA,AMH2091,"AFRICAN-AMERICAN HISTORY",1
01,ALACHUA,ANT1920,"SPECIALIZED GROUP STUDY",1
01,ALACHUA,ANT2000,"HONORS GENERAL ANTHROPOLOGY",3
01,ALACHUA,ANT2301,"HUMAN SEXUALITY AND CULTURE",9
01,ALACHUA,ANT2410,"INTRODUCTION TO CULTURAL ANTHR",2
01,ALACHUA,ARH1000,"ART APPRECIATION",3
01,ALACHUA,ARH2050,"WESTERN SURVEY I: GREEK TO REN",6
01,ALACHUA,ARTC001,"ART FUNDAMENTALS",10
01,ALACHUA,ARTC151,"JEWELRY II",1
01,ALACHUA,ARTC201,"DESIGN FUNDAMENTALS",1
01,ALACHUA,ARTC203,"THREE-DIMENSIONAL DESIGN",1
01,ALACHUA,ARTC300,"DRAWING I",4
01,ALACHUA,ARTC301,"DRAWING I",5
01,ALACHUA,ARTC302,"DRAWING AND COMPOSITION III",1
01,ALACHUA,ARTC432,"PHOTO SILKSCREENING PRINTING",1
01,ALACHUA,ARTC500,"PAINTING I",5
01,ALACHUA,ARTC501,"ADVANCED PAINTING",1
01,ALACHUA,ARTC701,"INTRODUCTION TO SCULPTURE",1
01,ALACHUA,ARTC750,"CERAMICS HANDBUILDING",6
01,ALACHUA,ARTC752,"CERAMICS WHEEL THROWING",2
01,ALACHUA,ASL1140,"AMERICAN SIGN LANGUAGE I",3
01,ALACHUA,ASL1150,"AMERICAN SIGN LANGUAGE II",10
01,ALACHUA,ASL2510,"DEAF CULTURE",2
01,ALACHUA,ASTL002,"DESCRIPTIVE ASTRONOMY LABORATO",2
01,ALACHUA,AST1002,"PLANETS, STARS, AND GALAXIES",2
01,ALACHUA,BSCL005,"GENERAL BIOLOGY LAB",8
01,ALACHUA,BSCL010,"GENERAL BIOLOGY I LAB",3
01,ALACHUA,BSCL011,"PRINCIPLES OF BIO LAB II",1
01,ALACHUA,BSCL084,"HONORS ESSENT OF HUM ANATOMY A",4
01,ALACHUA,BSCL085,"HUMAN ANATOMY & PHYSIOLOGY LAB",14
01,ALACHUA,BSCL086,"HUMAN ANATOMY AND PHYSIOLOGY I",11
01,ALACHUA,BSC1001,"FUNDAMENTALS OF BIOLOGICAL SCI",15
01,ALACHUA,BSC1030,"BIOLOGY & HUMAN VALUES",2
01,ALACHUA,BSC2005,"BIOLOGICAL SCIENCES",8
01,ALACHUA,BSC2010,"BIOLOGICAL SCIENCE I",3
01,ALACHUA,BSC2011,"GENERAL CORE BIOLOGY II",1
01,ALACHUA,BSC2050,ENVIRONMENT,1
01,ALACHUA,BSC2084,"HONORS ESSENTIALS OF HUMAN ANA",4
01,ALACHUA,BSC2085,"ANATOMY & PHYSIOLOGY I",14
01,ALACHUA,BSC2086,"HUMAN ANATOMY & PHYSIOLOGY II",11
01,ALACHUA,BUL2241,"BUSINESS LAW I",1
01,ALACHUA,CCJ1020,"INTRODUCTION TO CRIMINAL JUSTI",1
01,ALACHUA,CGS1000,"COMPUTER LITERACY",16
01,ALACHUA,CGS1820,"WEB PAGE AUTHORING",1
01,ALACHUA,CHI1121,"ELEMENTARY CHINESE II",2
01,ALACHUA,CHML025,"INTRODUCTION TO COLLEGE CHEMIS",18
01,ALACHUA,CHML030,"GEN ORG & BIOCHEM HEALTH REL S",1
01,ALACHUA,CHML045,"GENERAL CHEMISTRY I LABORATORY",5
01,ALACHUA,CHML046,"GENERAL CHEMISTRY LABORATORY I",3
01,ALACHUA,CHM1025,"INTRODUCTORY CHEMISTRY",18
01,ALACHUA,CHM1030,"ELEMENTS OF CHEMISTRY I",1
01,ALACHUA,CHM1083,"CONSUMER CHEMISTRY",3
01,ALACHUA,CHM2045,"GENERAL CHEMISTRY",5
01,ALACHUA,CHM2046,"GENERAL CHEMISTRY II",3
01,ALACHUA,CIS1254,"PROFESSIONAL DEVELOPMENT FOR I",2
01,ALACHUA,CJL2130,"CRIMINAL EVIDENCE & PROCEDURE",1
01,ALACHUA,CLP2140,"ABNORMAL PSYCHOLOGY",2
01,ALACHUA,COP2000,"INTRODUCTION TO COMPUTER PROGR",2
01,ALACHUA,COP2002,"PROGRAMMING LOGIC AND DESIGN",3
01,ALACHUA,COP2551,"INTRODUCTION TO OBJECT-ORIENTE",1
01,ALACHUA,CPO2001,"INTRODUCTION TO COMPARATIVE PO",1
01,ALACHUA,CRW2100,"BEGINNING FICTION WRITING",1
01,ALACHUA,DAA1000,"FUNDAMENTALS OF DANCE TECHNIQU",4
01,ALACHUA,DAA1100,"CONTEMPORARY DANCE I",5
01,ALACHUA,DAA1105,"MODERN DANCE II FOR PRE-MAJORS",2
01,ALACHUA,DAA1200,"BALLET TECHNIQUE I",3
01,ALACHUA,DAA1201,"BALLET II (NON-MAJORS)",1
01,ALACHUA,DAA1330,"TRADITIONAL AFRICAN DANCE I",2
01,ALACHUA,DAA1500,"JAZZ DANCE I",2
01,ALACHUA,DAA1680,"DANCE REPERTORY I",4
01,ALACHUA,DAA2106,"MODERN DANCE IV",1
01,ALACHUA,DAA2206,"BALLET IV",2
01,ALACHUA,DAA2207,"INTERMEDIATE BALLET I FOR PRE-",2
01,ALACHUA,DAA2682,"DANCE WORKSHOP II",8
01,ALACHUA,DAN1120,"WORLD DANCE",4
01,ALACHUA,DEP2002,"DEVELOPMENTAL PSY I: THE CHILD",1
01,ALACHUA,DEP2004,"HUMAN GROWTH & DEVELOPMENT",9
01,ALACHUA,ECO2013,MACROECONOMICS,5
01,ALACHUA,ECO2023,"PRINCIPLES OF ECONOMICS, MICRO",35
01,ALACHUA,EDF1005,"INTRODUCTION TO AMERICAN EDUCA",1
01,ALACHUA,EDF2085,"TEACHING DIVERSE POPULATIONS",1
01,ALACHUA,EME2040,"INTRODUCTION TO TECHNOLOGY FOR",1
01,ALACHUA,EMSL119,"EMERGENCY MEDICAL TECHNICIAN P",4
01,ALACHUA,EMS1119,"EMERGENCY MEDICAL TECHNICIAN",4
01,ALACHUA,EMS1335,"EMERGENCY VEHICLE OPERATOR COU",4
01,ALACHUA,EMS1411,"EMERGENCY ROOM",4
01,ALACHUA,EMS1421,"RESCUE CLINICAL",4
01,ALACHUA,ENC1101,"COMPOSITION I",54
01,ALACHUA,ENC1102,"ENGLISH COMPOSITION II",130
01,ALACHUA,ENC1200,"WRITING FOR BUSINESS PROFESSIO",1
01,ALACHUA,ENC2210,"TECHNICAL WRITING",6
01,ALACHUA,ENC2301,"ADVANCED COMPOSITION",2
01,ALACHUA,ENG1920,"SPECIALIZED GROUP STUDY",1
01,ALACHUA,ENG2102,"MOVIES AS NARRATIVE",2
01,ALACHUA,ENL2022,"BRITISH LITERATURE & CULTURE I",1
01,ALACHUA,ESC1000,"EARTH SCIENCE",3
01,ALACHUA,EUH2002,"WESTERN CIVILIZATION 3",2
01,ALACHUA,EVS1001,"ENVIRONMENTAL SCIENCE",4
01,ALACHUA,FRE1120,"BEGINNING FRENCH I",1
01,ALACHUA,FRE1121,"ELEMENTARY FRENCH II",5
01,ALACHUA,GEA2000,"WORLD REGIONAL GEOGRAPHY",1
01,ALACHUA,GEB1011,"PRINCIPLES OF BUSINESS",7
01,ALACHUA,GEB2350,"INTRODUCTION  TO INTERNATIONAL",2
01,ALACHUA,GEO2420,"INTRODUCTION TO HUMAN GEOGRAPH",2
01,ALACHUA,GLYL010,"PHYSICAL GEOLOGY LABORATORY",1
01,ALACHUA,GLY2010,"THE DYNAMIC EARTH: INTRO TO PH",1
01,ALACHUA,HSC1000,"INTRO TO ALLIED HEALTH PROFESS",8
01,ALACHUA,HSC2531,"MEDICAL TERMINOLOGY",26
01,ALACHUA,HUM2210,"HUMANITIES OF THE WORLD I",2
01,ALACHUA,HUM2250,"STUDIES IN HUMANITIES: THE ROM",4
01,ALACHUA,HUM2410,"INTRODUCTION TO ASIAN HUMANITI",4
01,ALACHUA,HUM2420,"AFRICAN HUMANITIES",3
01,ALACHUA,HUM2450,"AMERICAN HUMANITIES",1
01,ALACHUA,HUN1201,"NUTRITION AND DIET THERAPY",5
01,ALACHUA,INR2002,"INTERNATIONAL RELATIONS",2
01,ALACHUA,ISS2270,"MULTICULTURAL COMMUNICATIONS A",2
01,ALACHUA,MACL233,"ELEMENTARY CALCULUS LABORATORY",2
01,ALACHUA,MACL311,"CALCULUS 1 WITH ANALYTIC GEOME",10
01,ALACHUA,MACL312,"CALCULUS 2 WITH ANALYTIC GEOME",3
01,ALACHUA,MACL313,"CALCULUS 3 WITH ANALYTIC GEOME",1
01,ALACHUA,MAC1105,"COLLEGE ALGEBRA",99
01,ALACHUA,MAC1114,"PLANE TRIGONOMETRY",30
01,ALACHUA,MAC1140,"PRECALCULUS ALGEBRA",34
01,ALACHUA,MAC1147,"PRECALCULUS ALGEBRA AND TRIGON",3
01,ALACHUA,MAC2233,"CALCULUS FOR BUSINESS & SOCIAL",2
01,ALACHUA,MAC2311,"CALCULUS I",10
01,ALACHUA,MAC2312,"CALCULUS II",3
01,ALACHUA,MAC2313,"CALCULUS III",1
01,ALACHUA,MAN2021,"PRINCIPLES OF MANAGEMENT",1
01,ALACHUA,MAS2103,"LINEAR ALGEBRA",1
01,ALACHUA,MAT1033,"INTERMEDIATE ALGEBRA",16
01,ALACHUA,MCBL000,"MICROBIOLOGY LABORATORY",1
01,ALACHUA,MCBL010,"MICROBIOLOGY LAB FOR HEALTH SC",2
01,ALACHUA,MCB2000,"MICROBIOLOGY FOR NURSING AND O",1
01,ALACHUA,MCB2010,"MICROBIOLOGY FOR HEALTH SCIENC",2
01,ALACHUA,MGF1106,"TOPICS IN FINITE MATHEMATICS",20
01,ALACHUA,MGF1107,"MATHEMATICS FOR LIBERAL ARTS I",3
01,ALACHUA,MMC2100,"WRITING FOR THE MASS MEDIA",7
01,ALACHUA,MUH2019,"AMERICAN POPULAR MUSIC",10
01,ALACHUA,MUH2501,"INTRODUCTION TO WORLD MUSIC",3
01,ALACHUA,MUL1010,"INTRODUCTION TO MUSIC",10
01,ALACHUA,MUN1030,"MUSIC ENSEMBLES",1
01,ALACHUA,MUN1340,"CONTEMPORARY ENSEMBLE",2
01,ALACHUA,MUN2011,"MUSIC ENSEMBLES",2
01,ALACHUA,MUT1001,"FUNDAMENTALS OF MUSIC",21
01,ALACHUA,MUT1121,"MUSIC THEORY I",2
01,ALACHUA,MUT1122,"MUSIC THEORY II",2
01,ALACHUA,MUT1271,"FRESHMAN THEORY LABORATORY",2
01,ALACHUA,MUT1272,"APPLIED THEORY SKILLS 2",2
01,ALACHUA,MUT2116,"THEORY III",2
01,ALACHUA,MUT2246,"SIGHTSINGING AND EAR TRAINING",2
01,ALACHUA,MVK1111,"PIANO CLASS",1
01,ALACHUA,MVK1211,"APPLIED MUSIC SECONDARY-PIANO",1
01,ALACHUA,MVP1111,"AFRICAN/AFRO-CARIBBEAN HAND DR",1
01,ALACHUA,MVS1116,"CLASS GUITAR-MUSIC THERAPY",8
01,ALACHUA,MVV1111,VOICE-CLASS,1
01,ALACHUA,MVV1211,"APPL VOICE-SECONDARY FRESH VOI",1
01,ALACHUA,MVV2321,"MUSIC-APPLIED-PRIVATE INSTRUCT",1
01,ALACHUA,OCE1001,"INTRODUCTION TO OCEANOGRAPHY",3
01,ALACHUA,PGYC800,"DIGITAL PHOTOGRAPHY",3
01,ALACHUA,PHI2010,"INTRODUCTION TO PHILOSOPHY",16
01,ALACHUA,PHI2600,ETHICS,12
01,ALACHUA,PHI2635,"BIOMEDICAL ETHICS",2
01,ALACHUA,PHYL004,"LAB FOR PHYSICS 2004 AND 2005",5
01,ALACHUA,PHYL048,"PHYSICS 1 LABORATORY",2
01,ALACHUA,PHY2004,"APPLIED PHYSICS I",5
01,ALACHUA,PHY2048,"HONORS GENERAL PHYSICS I",2
