"COURSE ENROLLMENTS BY DISTRICT BY COURSE",,,,
"SCHOOL YEAR 2015-16",,,,
"SURVEY 2 DATA AS OF 11/13/2015",,,,
,,,,
"DIST #","DISTRICT NAME","COURSE #","COURSE NAME",ENROLLMENT
01,ALACHUA,ACG2001,"HONORS PRINCIPLES OF FINANCIAL",2
01,ALACHUA,ACG2021,"FINANCIAL ACCOUNTING",1
01,ALACHUA,AER0010,"AUTOMOTIVE FUNDAMENTALS",2
01,ALACHUA,AER0021,"BASIC AUTO SERVICE I",2
01,ALACHUA,AER0190,"ENGINE REPAIR",1
01,ALACHUA,AER0390,"MANUAL DRIVETRAINS I",1
01,ALACHUA,AER0452,"STEERING & SUSPENSION II",1
01,ALACHUA,AER0759,"AUTOMOTIVE HEATING AND AIR CON",1
01,ALACHUA,AMH2010,"AMERICAN HISTORY I  SURVEY TO",90
01,ALACHUA,AMH2020,"AMERICAN HISTORY INTRODUCTORY",18
01,ALACHUA,AMH2091,"AFRICAN AMERICAN HISTORY",1
01,ALACHUA,ANT2000,"HONORS GENERAL ANTHROPOLOGY",2
01,ALACHUA,ANT2301,"HUMAN SEXUALITY AND CULTURE",2
01,ALACHUA,ANT2410,"INTRODUCTION TO CULTURAL ANTHR",6
01,ALACHUA,ARH1000,"ART APPRECIATION",1
01,ALACHUA,ARH2050,"ART HISTORY I",2
01,ALACHUA,ARH2500,"NON-WESTERN ART HISTORY",2
01,ALACHUA,ART1001,"ART FUNDAMENTALS",29
01,ALACHUA,ART1201,"METHODS AND CONCEPTS I",3
01,ALACHUA,ART1203,"THREE-DIMENSIONAL FOUNDATIONS",1
01,ALACHUA,ART1300,"DRAWING I",13
01,ALACHUA,ART1500,"PAINTING I",1
01,ALACHUA,ART1701,"INTRODUCTION TO SCULPTURE",1
01,ALACHUA,ART1750,"CERAMICS I",11
01,ALACHUA,ASL1140,"AMERICAN SIGN LANGUAGE I",13
01,ALACHUA,ASL1150,"AMERICAN SIGN LANGUAGE II",1
01,ALACHUA,ASL2510,"DEAF CULTURE",2
01,ALACHUA,ASTL002,"DESCRIPTIVE ASTRONOMY LABORATO",5
01,ALACHUA,AST1002,"PLANETS, STARS, AND GALAXIES",5
01,ALACHUA,BSCL005,"GENERAL BIOLOGY LAB",11
01,ALACHUA,BSCL010,"GENERAL BIOLOGY I LAB",7
01,ALACHUA,BSCL011,"LABORATORY: PRINCIPLES OF BIOL",2
01,ALACHUA,BSCL084,"HONORS ESSENT OF HUM ANATOMY A",3
01,ALACHUA,BSCL085,"HUMAN ANATOMY & PHYSIOLOGY LAB",17
01,ALACHUA,BSCL086,"HUMAN ANATOMY AND PHYSIOLOGY I",2
01,ALACHUA,BSCL421,"INTRODUCTION TO BIOTECHNOLOGY",1
01,ALACHUA,BSC1001,"FUNDAMENTALS OF BIOLOGICAL SCI",10
01,ALACHUA,BSC1030,"SOCIAL ISSUES IN BIOLOGY",1
01,ALACHUA,BSC1421,"INTRODUCTION TO BIOTECHNOLOGY",1
01,ALACHUA,BSC2005,"BIOLOGICAL SCIENCES",11
01,ALACHUA,BSC2010,"BIOLOGY I",7
01,ALACHUA,BSC2011,"PRINCIPLES OF BIOLOGY 2",2
01,ALACHUA,BSC2050,ENVIRONMENT,2
01,ALACHUA,BSC2084,"HONORS ESSENTIALS OF HUMAN ANA",3
01,ALACHUA,BSC2085,"ANATOMY & PHYSIOLOGY I",17
01,ALACHUA,BSC2086,"HUMAN ANATOMY & PHYSIOLOGY II",2
01,ALACHUA,CCJ1020,"INTRODUCTION TO CRIMINAL JUSTI",4
01,ALACHUA,CGS1000,"COMPUTER LITERACY",14
01,ALACHUA,CGS1060,"INTRODUCTION TO COMPUTERS",2
01,ALACHUA,CHI1120,"ELEMENTARY CHINESE I",1
01,ALACHUA,CHI2220,"INTERMEDIATE CHINESE",1
01,ALACHUA,CHML025,"INTRODUCTION TO COLLEGE CHEMIS",3
01,ALACHUA,CHML045,"GENERAL CHEMISTRY LAB",11
01,ALACHUA,CHM1025,"INTRODUCTION TO CHEMISTRY",3
01,ALACHUA,CHM2045,"GENERAL CHEMISTRY",11
01,ALACHUA,CLP2140,"ABNORMAL PSYCHOLOGY",1
01,ALACHUA,COP2000,"PROGRAMMING FUNDAMENTALS FOR I",1
01,ALACHUA,COP2002,"PROGRAMMING LOGIC AND DESIGN",4
01,ALACHUA,DAA1000,"FUNDAMENTALS OF DANCE TECHNIQU",4
01,ALACHUA,DAA1100,"CONTEMPORARY DANCE I",7
