"COURSE ENROLLMENTS BY DISTRICT BY COURSE",,,,
"SCHOOL YEAR 2014-15",,,,
"SURVEY 2 DATA AS OF 12/20/2014",,,,
,,,,
"DIST #","DISTRICT NAME","COURSE #","COURSE NAME",ENROLLMENT
01,ALACHUA,AERC021,"BASIC AUTO SERVICE I",2
01,ALACHUA,AER0010,"AUTOMOTIVE FUNDAMENTALS",2
01,ALACHUA,AMH2010,"AMERICAN HISTORY I  SURVEY TO",58
01,ALACHUA,AMH2020,"UNITED STATES HISTORY FROM 186",10
01,ALACHUA,AMH2035,"RECENT AMERICAN HISTORY - SINC",2
01,ALACHUA,AMH2091,"AFRICAN-AMERICAN HISTORY",1
01,ALACHUA,ANT2301,"HUMAN SEXUALITY AND CULTURE",4
01,ALACHUA,ANT2410,"INTRODUCTION TO CULTURAL ANTHR",4
01,ALACHUA,ANT2511,"BIOLOGICAL ANTHROPOLOGY",1
01,ALACHUA,ARH1000,"ART APPRECIATION",6
01,ALACHUA,ARH2050,"WESTERN SURVEY I: GREEK TO REN",2
01,ALACHUA,ARH2051,"HONORS HISTORY OF ART 2",1
01,ALACHUA,ARTC001,"ART FUNDAMENTALS",27
01,ALACHUA,ARTC150,"JEWELRY AND METALSMITHING 1",1
01,ALACHUA,ARTC151,"JEWELRY II",1
01,ALACHUA,ARTC201,"DESIGN FUNDAMENTALS",3
01,ALACHUA,ARTC300,"DRAWING I",9
01,ALACHUA,ARTC430,"SCREEN PRINTING",1
01,ALACHUA,ARTC500,"PAINTING I",1
01,ALACHUA,ARTC750,"CERAMICS HANDBUILDING",6
01,ALACHUA,ARTC752,"CERAMICS WHEEL THROWING",4
01,ALACHUA,ASL1140,"AMERICAN SIGN LANGUAGE I",12
01,ALACHUA,ASL2510,"DEAF CULTURE",1
01,ALACHUA,ASTL002,"DESCRIPTIVE ASTRONOMY LABORATO",3
01,ALACHUA,AST1002,"PLANETS, STARS, AND GALAXIES",3
01,ALACHUA,BCN1210,"BUILDING CONSTRUCTION MATERIAL",1
01,ALACHUA,BSCL005,"GENERAL BIOLOGY LAB",26
01,ALACHUA,BSCL010,"GENERAL BIOLOGY I LAB",5
01,ALACHUA,BSCL085,"HUMAN ANATOMY & PHYSIOLOGY LAB",18
01,ALACHUA,BSCL086,"HUMAN ANATOMY AND PHYSIOLOGY I",1
01,ALACHUA,BSC1001,"FUNDAMENTALS OF BIOLOGICAL SCI",13
01,ALACHUA,BSC1030,"BIOLOGY & HUMAN VALUES",1
01,ALACHUA,BSC2005,"BIOLOGICAL SCIENCES",26
01,ALACHUA,BSC2010,"BIOLOGICAL SCIENCE I",5
01,ALACHUA,BSC2085,"ANATOMY & PHYSIOLOGY I",18
01,ALACHUA,BSC2086,"HUMAN ANATOMY & PHYSIOLOGY II",1
01,ALACHUA,CCJ1020,"INTRODUCTION TO CRIMINAL JUSTI",5
01,ALACHUA,CGS1000,"COMPUTER LITERACY",7
01,ALACHUA,CGS2527,"GRAPHICS APPLICATIONS",1
01,ALACHUA,CGS2540,"DATABASE CONCEPTS",1
01,ALACHUA,CHI1120,"ELEMENTARY CHINESE I",2
01,ALACHUA,CHML025,"INTRODUCTION TO COLLEGE CHEMIS",6
01,ALACHUA,CHML030,"GEN ORG & BIOCHEM HEALTH REL S",3
01,ALACHUA,CHML045,"GENERAL CHEMISTRY I LABORATORY",9
01,ALACHUA,CHML046,"GENERAL CHEMISTRY LABORATORY I",1
01,ALACHUA,CHM1025,"INTRODUCTORY CHEMISTRY",6
01,ALACHUA,CHM1030,"ELEMENTS OF CHEMISTRY I",3
01,ALACHUA,CHM1083,"CONSUMER CHEMISTRY",1
01,ALACHUA,CHM2045,"GENERAL CHEMISTRY",9
01,ALACHUA,CHM2046,"GENERAL CHEMISTRY II",1
01,ALACHUA,CJE2600,"INTRODUCTION TO CRIMINAL INVES",1
01,ALACHUA,CLP2140,"ABNORMAL PSYCHOLOGY",1
01,ALACHUA,COP2000,"INTRODUCTION TO COMPUTER PROGR",1
01,ALACHUA,COP2002,"PROGRAMMING LOGIC AND DESIGN",5
01,ALACHUA,COP2654,"PROGRAMMING FOR MOBILE DEVICES",1
01,ALACHUA,CPO2030,"POLITICS OF THE DEVELOPING WOR",2
01,ALACHUA,CTS1131,"MICROCOMPUTER ARCHITECTURE",1
01,ALACHUA,DAA1000,"FUNDAMENTALS OF DANCE TECHNIQU",4
01,ALACHUA,DAA1100,"CONTEMPORARY DANCE I",7
01,ALACHUA,DAA1105,"MODERN DANCE II FOR PRE-MAJORS",1
01,ALACHUA,DAA1200,"BALLET TECHNIQUE I",3
01,ALACHUA,DAA1201,"BALLET II (NON-MAJORS)",3
01,ALACHUA,DAA1330,"TRADITIONAL AFRICAN DANCE I",1
01,ALACHUA,DAA1500,"JAZZ DANCE I",6
01,ALACHUA,DAA2206,"BALLET IV",1
01,ALACHUA,DAA2683,"PERFORMANCE IV",5
01,ALACHUA,DEP2004,"HUMAN GROWTH & DEVELOPMENT",3
01,ALACHUA,ECO2013,MACROECONOMICS,1
01,ALACHUA,ECO2023,"PRINCIPLES OF ECONOMICS, MICRO",21
01,ALACHUA,EDF1005,"INTRODUCTION TO AMERICAN EDUCA",2
01,ALACHUA,EMS1059,"FIRST RESPONDER",3
01,ALACHUA,ENC1101,"COMPOSITION I",160
01,ALACHUA,ENC1102,"ENGLISH COMPOSITION II",60
01,ALACHUA,ENC2210,"TECHNICAL WRITING",7
01,ALACHUA,ENC2301,"ADVANCED COMPOSITION",3
01,ALACHUA,ENG2102,"MOVIES AS NARRATIVE",4
01,ALACHUA,ESC1000,"EARTH SCIENCE",2
01,ALACHUA,EUH2000,"HONORS WESTERN CIVILIZATION I",3
01,ALACHUA,EVS1001,"ENVIRONMENTAL SCIENCE",3
01,ALACHUA,FRE1120,"BEGINNING FRENCH I",7
01,ALACHUA,GEA2000,"WORLD REGIONAL GEOGRAPHY",4
01,ALACHUA,GEB1011,"PRINCIPLES OF BUSINESS",14
01,ALACHUA,GLYL010,"PHYSICAL GEOLOGY LABORATORY",1
01,ALACHUA,GLY2010,"THE DYNAMIC EARTH: INTRO TO PH",1
01,ALACHUA,HSC1000,"INTRO TO ALLIED HEALTH PROFESS",8
01,ALACHUA,HSC2531,"MEDICAL TERMINOLOGY",21
01,ALACHUA,HUM2210,"HUMANITIES OF THE WORLD I",4
01,ALACHUA,HUM2230,"HUMANITIES II",3
01,ALACHUA,HUM2250,"STUDIES IN HUMANITIES: THE ROM",2
01,ALACHUA,HUM2410,"INTRODUCTION TO ASIAN HUMANITI",1
01,ALACHUA,HUM2420,"AFRICAN HUMANITIES",3
01,ALACHUA,HUM2450,"AMERICAN HUMANITIES",5
01,ALACHUA,HUM2461,"HONORS LATIN AMERICAN HUMANITI",1
01,ALACHUA,HUN1201,"NUTRITION AND DIET THERAPY",2
01,ALACHUA,INR2002,"INTERNATIONAL RELATIONS",1
01,ALACHUA,ISS2270,"MULTICULTURAL COMMUNICATIONS A",2
01,ALACHUA,MACL233,"ELEMENTARY CALCULUS LABORATORY",1
01,ALACHUA,MACL311,"CALCULUS 1 WITH ANALYTIC GEOME",6
01,ALACHUA,MACL312,"CALCULUS 2 WITH ANALYTIC GEOME",1
01,ALACHUA,MAC1105,"COLLEGE ALGEBRA",83
01,ALACHUA,MAC1114,"PLANE TRIGONOMETRY",18
01,ALACHUA,MAC1140,"PRECALCULUS ALGEBRA",18
01,ALACHUA,MAC1147,"PRECALCULUS ALGEBRA AND TRIGON",2
01,ALACHUA,MAC2233,"CALCULUS FOR BUSINESS & SOCIAL",1
01,ALACHUA,MAC2311,"CALCULUS I",6
01,ALACHUA,MAC2312,"CALCULUS II",1
01,ALACHUA,MAN2021,"PRINCIPLES OF MANAGEMENT",2
01,ALACHUA,MAP2302,"ORDINARY DIFFERENTIAL EQUATION",1
01,ALACHUA,MAT1033,"INTERMEDIATE ALGEBRA",135
01,ALACHUA,MGF1106,"TOPICS IN FINITE MATHEMATICS",2
01,ALACHUA,MUH2019,"AMERICAN POPULAR MUSIC",9
01,ALACHUA,MUH2501,"INTRODUCTION TO WORLD MUSIC",2
01,ALACHUA,MUL1010,"INTRODUCTION TO MUSIC",11
