"Course Enrollments by Course
2016-17, Survey 3 - Preliminary
State Level",,
,,
"Course #","Course Name",Enrollment
0100060,"M/J INTRO ART HIST",4180
0100070,"M/J ART WORLD CULTR",3920
0100300,"AP ART HISTORY",4104
0100310,"INTRO TO ART HIST",625
0100320,"ART IN WRLD CULTURES",345
0100330,"ART HIST & CRIT 1 H",1463
0100340,"ART HIST & CRIT 2 H",121
0101005,"M/J EXPLORING 2D ART",11749
0101010,"M/J 2-D STUDIO ART 1",40563
0101020,"M/J 2-D STUDIO ART 2",13770
0101025,"M/J 2D STUD ART 2 CP",741
0101026,"M/J 2D STUDIO ART 3",4083
0101035,"M/J EXPLORING 3D ART",6428
0101040,"M/J 3-D STUDIO ART 1",6776
0101050,"M/J 3-D STUDIO ART 2",1716
0101055,"M/J 3D STUD ART 2 CP",79
0101060,"M/J 3D STUDIO ART 3",463
0101100,"M/J VISUAL ART 1",5156
0101110,"M/J VISUAL ART 2",2881
0101120,"M/J VISUAL ART 3",1103
0101300,"2-D STUDIO ART 1",33619
0101310,"2-D STUDIO ART 2",9526
0101320,"2-D STUDIO ART 3 HON",1420
0101330,"3-D STUDIO ART 1",10936
0101340,"3-D STUDIO ART 2",2036
0101350,"3-D STUDIO ART 3 HON",367
0101355,"CREATING 2-D ART",2708
0101365,"CREATING 3-D ART",4909
0101370,"AICE ART&DESIGN 1 AS",284
0101371,"AICE ART&DESIGN 2 AL",80
0101375,"PRE-AICE ART&DES3DIG",67
0101440,"FIN CFT STUD ART 1",894
0101450,"FIN CFT STUD ART 2",64
0101460,"FIN CFT STUD ART 3 H",33
0102040,"M/J CREATIVE PHOTO 1",2650
0102050,"M/J CREATIVE PHOTO 2",295
0102060,"M/J CREATIVE PHOTO 3",66
0102300,"CERAM/POT 1",15637
0102305,"CERAM/POT 1",1143
0102310,"CERAM/POT 2",4268
0102320,"CERAM/POT 3 HON",1020
0102330,"AICE ART&DES CER AS",9
0102340,"ART COLLAB DSGN HON",130
0103000,"M/J DIG ART & DES 1",3387
0103010,"M/J DIG ART & DES 2",620
0103015,"M/J DIG ART DGN 2 CP",21
0103020,"M/J DIG ART DESIGN 3",195
0104300,"AP STUDIO ART/DRAW",1951
0104335,"DRAW 1",855
0104340,"DRAW 1",17997
0104350,"DRAW 2",3448
0104360,"DRAW 3 HON",765
0104365,"PAINT 1",826
0104370,"PAINT 1",4366
0104380,"PAINT 2",1032
0104390,"PAINT 3 HON",194
0104410,"FIG DRAW",47
0104415,"PRE-AICE A&D P&M IG",135
0104420,"AICE ART&DES P&M AS",46
0105315,"PRE-AICE A&D TD IG",12
0106320,"AICE ART&DES GD AS",43
0107410,"FILM 1",2648
0107420,"FILM 2",509
0107430,"FILM 3 HON",238
0107440,"VISUAL TECH 1",986
0107450,"VISUAL TECH 2",247
0107460,"VISUAL TECH 3 HON",173
0107470,"IB FILM STUDIES 1",264
0107472,"IB FILM STUDIES 2",162
0107474,"IB FILM STUDIES 3",178
0107480,"AICE ART&DES F&V AS",28
0108310,"CREATIVE PHOTO 1",10518
0108320,"CREATIVE PHOTO 2",1706
0108330,"CREATIVE PHOTO 3 HON",617
0108355,"PRE-AICE PHOTO IGCSE",101
0108360,"AICE ART&DESPHOTO AS",407
0108370,"DIGITAL ART IMG 1",4463
0108380,"DIGITAL ART IMG 2",972
0108390,"DIGITAL ART IMG 3 H",418
0109310,"PORT DEV: DRAW HON",1554
0109320,"PORT DEV: 2D DES HON",1496
0109330,"PORT DEV: 3D DES HON",417
0109350,"AP STUDIO ART/2-D",4075
0109355,"AP STUDIO/2-D INNOV",72
0109360,"AP STUDIO ART/3-D",744
0110300,"PRINTMG 1",303
0110310,"PRINTMG 2",53
0111310,"SCULPT 1",1844
0111320,"SCULPT 2",222
0111330,"SCULPT 3 HON",74
0113300,"ARCH DES & DRAW 1",35
0114800,"FL PRE-IB ART 1",790
0114810,"FL PRE-IB ART 2",264
0114815,"IB VISUAL ARTS 1",536
0114825,"IB VISUAL ARTS 2",233
0114835,"IB VISUAL ARTS 3",336
0114880,"IB MYP ART 1",171
0114890,"IB MYP ART 2",116
0200220,"M/J CPTR TRANSFER",89
0200320,"AP COMPUTER SCI 1",2233
0200325,"AP CPTR SCI A INNOV",60
0200330,"AP COMPUTER SCI A",7
0200335,"AP COMPUTER SCI PRIN",5093
0200420,"AICE COMPUTING 1 AS",232
0200430,"AICE COMPUTING 2 AL",29
0200435,"PRE-AICE COMP STU IG",12
0200440,"AICE APPLD ICT 1 AS",77
0200450,"AICE APPLD ICT 2 AL",44
0200455,"PRE-AICE DES&TECH IG",12
0200460,"AICE DES & TECH 1 AS",61
0200470,"AICE DES & TECH 2 AL",11
0200800,"IB COMPTR SCIENCE 1",47
