"COURSE ENROLLMENTS BY DISTRICT BY COURSE",,,,
"2012-13 SURVEY 2 DATA FINAL",,,,
,,,,
"Dist #",District,"Course #",Course,Enrollment
01,ALACHUA,ACG2001,"HONORS PRINCIPLES OF FINANCIAL",1
01,ALACHUA,ACG2011,"ACCOUNTING PRINCIPLES II",1
01,ALACHUA,ACG2021,"FINANCIAL ACCOUNTING",1
01,ALACHUA,ACRC051,"PRINCIPLES OF REFRIGERATION",1
01,ALACHUA,ACRC548,"ADVANCED REFRIGERATION (<200 H",1
01,ALACHUA,AMH2010,"AMERICAN HISTORY I  SURVEY TO",64
01,ALACHUA,AMH2020,"UNITED STATES HISTORY FROM 186",21
01,ALACHUA,ANT2000,"GENERAL ANTHROPOLOGY (HONORS)",1
01,ALACHUA,ANT2301,"HUMAN SEXUALITY AND CULTURE",3
01,ALACHUA,ANT2410,"INTRODUCTION TO CULTURAL ANTHR",5
01,ALACHUA,ARH2050,"WESTERN SURVEY I: GREEK TO REN",1
01,ALACHUA,ARH2500,"NON-WESTERN ART HISTORY",1
01,ALACHUA,ARTC001,"CREATIVE EXPRESSION",23
01,ALACHUA,ARTC201,"DESIGN FUNDAMENTALS",3
01,ALACHUA,ARTC203,"THREE-DIMENSIONAL DESIGN",2
01,ALACHUA,ARTC300,"DRAWING I",10
01,ALACHUA,ARTC301,"DRAWING I",1
01,ALACHUA,ARTC500,"FUNDAMENTALS OF PAINTING",4
01,ALACHUA,ARTC750,"CERAMICS HANDBUILDING",8
01,ALACHUA,ARTC752,"CERAMICS WHEEL THROWING",6
01,ALACHUA,ASL1140,"AMERICAN SIGN LANGUAGE I",17
01,ALACHUA,ASL2510,"DEAF CULTURE",1
01,ALACHUA,ASTL002,"DESCRIPTIVE ASTRONOMY LABORATO",1
01,ALACHUA,AST1002,"INTRODUCTION TO ASTRONOMY",1
01,ALACHUA,BCNC251,"LIGHT CONSTRUCTION DRAFTING",1
01,ALACHUA,BSCL005,"GENERAL BIOLOGY LAB",17
01,ALACHUA,BSCL010,"GENERAL BIOLOGY I LAB",6
01,ALACHUA,BSCL085,"ANATOMY & PHYSIOLOGY LAB I",12
01,ALACHUA,BSCL086,"HUMAN ANATOMY AND PHYSIOLOGY I",5
01,ALACHUA,BSC1001,"FUNDAMENTALS OF BIOLOGICAL SCI",9
01,ALACHUA,BSC2005,"GENERAL BIOLOGY",17
01,ALACHUA,BSC2010,"INTEGRATED PRINCIPLES OF BIOLO",6
01,ALACHUA,BSC2050,ENVIRONMENT,2
01,ALACHUA,BSC2085,"ANATOMY & PHYSIOLOGY I",12
01,ALACHUA,BSC2086,"HUMAN ANATOMY & PHYSIOLOGY II",5
01,ALACHUA,CCJ1020,"INTRODUCTION TO CRIMINAL JUSTI",7
01,ALACHUA,CGS1000,"COMPUTER LITERACY",13
01,ALACHUA,CGS1101,"COMPUTER MANAGEMENT INFORMATIO",2
01,ALACHUA,CHML025,"INTRODUCTION TO COLLEGE CHEMIS",6
01,ALACHUA,CHML030,"GEN ORG & BIOCHEM HEALTH REL S",1
01,ALACHUA,CHML045,"GENERAL CHEMISTRY LAB",4
01,ALACHUA,CHML046,"GENERAL CHEMISTRY LABORATORY I",1
01,ALACHUA,CHM1025,"COLLEGE CHEMISTRY",6
01,ALACHUA,CHM1030,"ELEMENTS OF CHEMISTRY I",1
01,ALACHUA,CHM2045,"GENERAL CHEMISTRY",4
01,ALACHUA,CHM2046,"COLLEGE CHEMISTRY 2",1
01,ALACHUA,COP2000,"INTRODUCTION TO COMPUTER PROGR",1
01,ALACHUA,COP2002,"PROGRAMMING LOGIC AND DESIGN",1
01,ALACHUA,DAA1000,"FUNDAMENTALS OF DANCE TECHNIQU",6
01,ALACHUA,DAA1100,"CONTEMPORARY DANCE I",6
01,ALACHUA,DAA1200,"BALLET TECHNIQUE I",2
01,ALACHUA,DAA1205,"BALLET II-2",2
