"COURSE ENROLLMENTS",,,,
"2012-13 SURVEY 3 DATA FINAL",,,,
,,,,
"Dist #",District,"Course #",Course,Enrollment
1,ALACHUA,ACG2001,"HONORS PRINCIPLES OF FINANCIAL",1
1,ALACHUA,ACG2011,"ACCOUNTING PRINCIPLES II",1
1,ALACHUA,ACG2071,"MANAGERIAL ACCOUNTING",2
1,ALACHUA,ACR0012,"FUNDAMENTALS OF AIR CONDITIONI",1
1,ALACHUA,ACR0074,"EMPLOYABILITY SKILLS, JOB SEAR",1
1,ALACHUA,ACR0125,"ADVANCED AIR CONDITIONING",1
1,ALACHUA,ACR0855,"ADVANCED MECHANICAL REPAIR",1
1,ALACHUA,AMH2010,"AMERICAN HISTORY I  SURVEY TO",15
1,ALACHUA,AMH2020,"UNITED STATES HISTORY FROM 186",95
1,ALACHUA,AMH2035,"US MODERN WORLD SINCE 1945",4
1,ALACHUA,ANT2301,"HUMAN SEXUALITY AND CULTURE",5
1,ALACHUA,ANT2410,"INTRODUCTION TO CULTURAL ANTHR",3
1,ALACHUA,ANT2511,"INTRODUCTION TO PHYSICAL ANTHR",1
1,ALACHUA,ARH2050,"WESTERN SURVEY I: GREEK TO REN",7
1,ALACHUA,ARTC001,"CREATIVE EXPRESSION",19
1,ALACHUA,ARTC201,"DESIGN FUNDAMENTALS",3
1,ALACHUA,ARTC203,"THREE-DIMENSIONAL DESIGN",1
1,ALACHUA,ARTC300,"DRAWING I",7
1,ALACHUA,ARTC301,"DRAWING I",2
1,ALACHUA,ARTC430,"SILKSCREEN PRINTING",2
1,ALACHUA,ARTC500,"FUNDAMENTALS OF PAINTING",2
1,ALACHUA,ARTC701,"INTRODUCTION TO SCULPTURE",3
1,ALACHUA,ARTC750,"CERAMICS HANDBUILDING",2
1,ALACHUA,ARTC752,"CERAMICS WHEEL THROWING",5
1,ALACHUA,ASL1140,"AMERICAN SIGN LANGUAGE I",7
1,ALACHUA,ASL1150,"AMERICAN SIGN LANGUAGE II",13
1,ALACHUA,ASL2510,"DEAF CULTURE",2
1,ALACHUA,BCN1210,"BUILDING CONSTRUCTION MATERIAL",1
1,ALACHUA,BSCL005,"GENERAL BIOLOGY LAB",23
1,ALACHUA,BSCL010,"GENERAL BIOLOGY I LAB",2
1,ALACHUA,BSCL011,"FUNDAMENTALS OF BIOLOGY II LAB",2
1,ALACHUA,BSCL084,"HONORS ESSENT OF HUM ANATOMY A",3
1,ALACHUA,BSCL085,"ANATOMY & PHYSIOLOGY LAB I",8
1,ALACHUA,BSCL086,"HUMAN ANATOMY AND PHYSIOLOGY I",6
1,ALACHUA,BSC1001,"FUNDAMENTALS OF BIOLOGICAL SCI",21
1,ALACHUA,BSC2005,"GENERAL BIOLOGY",23
1,ALACHUA,BSC2010,"INTEGRATED PRINCIPLES OF BIOLO",2
1,ALACHUA,BSC2011,"BIOLOGY II",2
1,ALACHUA,BSC2050,ENVIRONMENT,8
1,ALACHUA,BSC2084,"HONORS ESSENTIALS OF HUMAN ANA",3
1,ALACHUA,BSC2085,"ANATOMY & PHYSIOLOGY I",8
1,ALACHUA,BSC2086,"HUMAN ANATOMY & PHYSIOLOGY II",6
1,ALACHUA,CCJ1020,"INTRODUCTION TO CRIMINAL JUSTI",1
1,ALACHUA,CGS1000,"COMPUTER LITERACY",5
1,ALACHUA,CHI1121,"ELEMENTARY CHINESE II",1
1,ALACHUA,CHML025,"INTRODUCTION TO COLLEGE CHEMIS",13
