"COURSE ENROLLMENTS",,,,
"2013-14 SURVEY 2 FINAL DATA ",,,,
,,,,
"Dist #",District,"Course #",Course,Enrollment
01,ALACHUA,ACG2001,"HONORS PRINCIPLES OF FINANCIAL",2
01,ALACHUA,AERC021,"BASIC AUTO SERVICE I",1
01,ALACHUA,AER0010,"INTRODUCTION TO AUTOMOTIVE SER",1
01,ALACHUA,AMH2010,"AMERICAN HISTORY I",77
01,ALACHUA,AMH2020,"UNITED STATES HISTORY FROM 186",22
01,ALACHUA,ANT2000,"HONORS GENERAL ANTHROPOLOGY",1
01,ALACHUA,ANT2410,"INTRODUCTION TO CULTURAL ANTHR",6
01,ALACHUA,ARH2050,"WESTERN SURVEY I: GREEK TO REN",1
01,ALACHUA,ARH2051,"HONORS HISTORY OF ART 2",2
01,ALACHUA,ARH2500,"NON-WESTERN ART HISTORY",1
01,ALACHUA,ARTC001,"CREATIVE EXPRESSION",32
01,ALACHUA,ARTC151,"JEWELRY II",1
01,ALACHUA,ARTC201,"DESIGN FUNDAMENTALS",1
01,ALACHUA,ARTC300,"DRAWING I",10
01,ALACHUA,ARTC500,"FUNDAMENTALS OF PAINTING",3
01,ALACHUA,ARTC750,"CERAMICS HANDBUILDING",3
01,ALACHUA,ARTC752,"CERAMICS WHEEL THROWING",4
01,ALACHUA,ASL1140,"AMERICAN SIGN LANGUAGE I",11
01,ALACHUA,ASL2510,"DEAF CULTURE",5
01,ALACHUA,ASTL002,"DESCRIPTIVE ASTRONOMY LABORATO",1
01,ALACHUA,AST1002,"PLANETS, STARS, AND GALAXIES",1
01,ALACHUA,BCNC251,"LIGHT CONSTRUCTION DRAFTING",2
01,ALACHUA,BSCL005,"GENERAL BIOLOGY LAB",12
01,ALACHUA,BSCL010,"GENERAL BIOLOGY I LAB",5
01,ALACHUA,BSCL084,"HONORS ESSENT OF HUM ANATOMY A",1
01,ALACHUA,BSCL085,"ANATOMY & PHYSIOLOGY LAB I",11
01,ALACHUA,BSCL086,"HUMAN ANATOMY AND PHYSIOLOGY I",1
01,ALACHUA,BSC1001,"FUNDAMENTALS OF BIOLOGICAL SCI",8
01,ALACHUA,BSC2005,"GENERAL BIOLOGY",12
01,ALACHUA,BSC2010,"INTEGRATED PRINCIPLES OF BIOLO",5
01,ALACHUA,BSC2050,ENVIRONMENT,2
01,ALACHUA,BSC2084,"HONORS ESSENTIALS OF HUMAN ANA",1
01,ALACHUA,BSC2085,"ANATOMY & PHYSIOLOGY I",11
01,ALACHUA,BSC2086,"ADVANCED ANATOMY & PHYSIOLOGY",1
01,ALACHUA,CCJ1020,"INTRODUCTION TO CRIMINAL JUSTI",2
01,ALACHUA,CGS1000,"COMPUTER LITERACY",6
01,ALACHUA,CGS2872,"MULTIMEDIA AUTHORING",1
01,ALACHUA,CHI1120,"ELEMENTARY CHINESE I",1
01,ALACHUA,CHML025,"INTRODUCTION TO COLLEGE CHEMIS",15
01,ALACHUA,CHML030,"GEN CHEMISTRY FOR ALLIED HEALT",6
01,ALACHUA,CHML045,"GENERAL CHEMISTRY LAB",4
01,ALACHUA,CHML046,"GENERAL CHEMISTRY LABORATORY I",1
01,ALACHUA,CHM1025,"INTRODUCTORY CHEMISTRY",15
01,ALACHUA,CHM1030,"ELEMENTS OF CHEMISTRY I",6
01,ALACHUA,CHM2045,"GENERAL CHEMISTRY",4
01,ALACHUA,CHM2046,"COLLEGE CHEMISTRY 2",1
01,ALACHUA,CLP2140,"ABNORMAL PSYCHOLOGY",2
01,ALACHUA,COP2000,"INTRODUCTION TO COMPUTER PROGR",2
01,ALACHUA,COP2002,"PROGRAMMING LOGIC AND DESIGN",2
01,ALACHUA,CPO2001,"INTRODUCTION TO COMPARATIVE PO",2
01,ALACHUA,DAA1000,"FUNDAMENTALS OF DANCE TECHNIQU",4
01,ALACHUA,DAA1100,"CONTEMPORARY DANCE I",2
01,ALACHUA,DAA1105,"MODERN DANCE II FOR PRE-MAJORS",2
01,ALACHUA,DAA1200,"BALLET TECHNIQUE I",1
01,ALACHUA,DAA1330,"TRADITIONAL AFRICAN DANCE I",2
01,ALACHUA,DAA1500,"JAZZ DANCE I",2
01,ALACHUA,DAA1680,"DANCE REPERTORY I",2
01,ALACHUA,DAA2106,"MODERN DANCE IV",1
01,ALACHUA,DAA2206,"BALLET IV",1
01,ALACHUA,DAA2207,"INTERMEDIATE BALLET I FOR PRE-",1
01,ALACHUA,DAN1120,"WORLD DANCE",1
01,ALACHUA,DEAL027,"PRECLINIC PROCEDURES LAB",1
01,ALACHUA,DEAL800,"CLINICAL PRACTICE AND PROCEDUR",1
01,ALACHUA,DEA0002,"INTRO TO PRACTICE--ASSISTING",1
01,ALACHUA,DEA0027,"PRECLINIC PROCEDURES",1
01,ALACHUA,DEA0300,"PREVENTIVE DENTISTRY AND NUTRI",1
01,ALACHUA,DEA0800,"CLINICAL PRACTICE I",1
01,ALACHUA,DEA0931,"DENTAL ASSISTING IN ORTHODONTI",1
01,ALACHUA,DEP2002,"DEVELOPMENTAL PSY I: THE CHILD",1
01,ALACHUA,DEP2004,"HUMAN GROWTH & DEVELOPMENT",4
01,ALACHUA,DESL103,"DENTAL MATERIALS AND LABORATOR",1
01,ALACHUA,DES0021,"OROFACIAL AND DENTAL ANATOMY",1
01,ALACHUA,DES0103,"DENTAL MATERIALS",1
01,ALACHUA,DES0400,"DENTAL ANATOMY",1
01,ALACHUA,ECO2023,"PRINCIPLES OF ECONOMICS, MICRO",24
01,ALACHUA,ECO2710,"INTRODUCTION TO INTERNATIONAL",1
01,ALACHUA,EDF1005,"INTRODUCTION TO AMERICAN EDUCA",3
01,ALACHUA,EDF2085,"TEACHING DIVERSE POPULATIONS",1
01,ALACHUA,ENC1101,"COMPOSITION I",167
01,ALACHUA,ENC1102,"ENGLISH COMPOSITION II",44
01,ALACHUA,ENC2210,"TECHNICAL COMMUNICATIONS",8
01,ALACHUA,ENC2301,"ADVANCED COMPOSITION",5
01,ALACHUA,ENL2330,"INTRO TO SHAKESPEARE",1
01,ALACHUA,ESC1000,"EARTH SCIENCE",6
01,ALACHUA,EUH2000,"HONORS WESTERN CIVILIZATION I",3
01,ALACHUA,EVS1001,"INTRODUCTION TO ENVIRONMENTAL",6
01,ALACHUA,FRE1120,"BEGINNING FRENCH I",9
01,ALACHUA,GEA2000,"WORLD REGIONAL GEOGRAPHY",2
01,ALACHUA,GEB1011,"PRINCIPLES OF BUSINESS",11
01,ALACHUA,GLYL010,"PHYSICAL GEOLOGY LABORATORY",4
01,ALACHUA,GLY2010,"THE DYNAMIC EARTH: INTRO TO PH",4
01,ALACHUA,HSC1000,"INTRO TO ALLIED HEALTH PROFESS",10
01,ALACHUA,HSC2531,"MEDICAL TERMINOLOGY",19
01,ALACHUA,HUM2210,"THE HUMANITIES",1
01,ALACHUA,HUM2250,"INTERCULTURAL HUMANITIES III",2
01,ALACHUA,HUM2410,"ASIAN HUMANITIES",1
01,ALACHUA,HUM2450,"AMERICAN HUMANITIES",2
01,ALACHUA,HUN1201,"NUTRITION AND DIET THERAPY",3
01,ALACHUA,ISS2270,"MULTICULTURAL COMMUNICATIONS A",2
01,ALACHUA,MACL233,"SURVEY OF CALCULUS LABORATORY",3
